minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
4,6,,0,#% increased maximum Energy Shield,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) maximum Energy Shield,226
4,6,,0,#% increased maximum Life,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) maximum Life,227
4,6,,0,#% increased maximum Mana,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) maximum Mana,228
5,8,,0,#% additional Physical Damage Reduction while affected by Determination,,([+-]?([0-9]*[.])?[0-9]+)% additional Physical Damage Reduction while affected by Determination,229
5,8,,0,+#% Chance to Block Attack Damage while affected by Determination,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% Chance to Block Attack Damage while affected by Determination,230
40,60,,0,You take #% reduced Extra Damage from Critical Strikes while affected by Determination,,You take ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Extra Damage from Critical Strikes while affected by Determination,231
600,1000,,0,+# to Armour while affected by Determination,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Armour while affected by Determination,232
40,50,,0,#% reduced Reflected Physical Damage taken while affected by Determination,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Reflected Physical Damage taken while affected by Determination,233
5,8,,0,+#% chance to Evade Attack Hits while affected by Grace,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Evade Attack Hits while affected by Grace,234
12,15,,0,+#% chance to Suppress Spell Damage while affected by Grace,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Suppress Spell Damage while affected by Grace,235
10,15,,0,#% increased Movement Speed while affected by Grace,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Movement Speed while affected by Grace,236
30,50,,0,#% chance to Blind Enemies which Hit you while affected by Grace,,([+-]?([0-9]*[.])?[0-9]+)% chance to Blind Enemies which Hit you while affected by Grace,237
1.5,2.5,,0,Regenerate #% of Energy Shield per Second while affected by Discipline,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Energy Shield per Second while affected by Discipline,238
