id,public,accountName,stash,league
51e54c21f26d044438989f2582c0fed51d667dacf323a5fa12a9d9ab96e6ca0f,True,Skondr,Торговля,Affliction
9ab066f03a2ed0a25270c3596474e10a125d61b35ed618a5b16b43c037e28db1,True,Śaitama,5,Affliction
908b6efc18e6d502945bad628b4f1c5a24bfbcea895f3600d686941ed8424582,True,Grissl,Sell,Affliction
8ff2911be57fc88253c06e6c4877cd3523f01e9fb176feb90bf2d9cde80c3c78,True,Brucezilla,~price 4 divine,Affliction
b573eb4e0b74ae2cd334b64ebdf3c651e6d7e6a6df89d6c060b73d4f13b202d7,True,Nephalem_ttv,ZORO,Affliction
a9ecf14e31b096a5d449924d2ecd51b60ed84d33c1773061308aeb74dfc59522,True,angeelo123,~price 1 divine,Affliction
8558e99b275208757cbcc39345881e1f0acdc47f91185a33e621baf7d6ed636a,True,1NZECT,S3,Affliction
9cbf3682afc6beb09b88178d688543ddc3358e3263ddb59d7ad739b879bf6eb5,True,앙고르덴,거래1,Affliction
7341d0881fa2fe736fb73e43e2fd6dd72d683abdd530fc50efdc0f382c80fc66,True,MeIkayaa,3,Affliction
61ec809205a633bcaeb8d35cb7e14024d2f7d4dc38287438423fe997d94a68b0,True,xCzachaDymi,Trade 1,Affliction
e75ffb52544782192044924305c459ae4a9cacee1fd67040dbc63d7a57aa66ff,True,teppei_mobius,special implicit maps/annoimt,Affliction
b76899ea4ecf75b0cca424d72e92511ea564a623f88fe6c03b49d500d60263ff,True,zeetherot,STAND 1,Affliction
e8536619dc0c44759a8536b2e564c2a8c810684c2effffd2401efcb244535057,True,monotako,T4,Affliction
217fbdeb36b97de5da7dd14579630ada3f98987aa958fc83476a7d32ca522eda,True,AmmarBit,div items,Affliction
56a3b99271f9611c9ffa754aad3e87362ec0a217d3ab19d7b4c8a0bd4c0df194,True,tarq,SELL,Affliction
b4e7b118768401e4c8db57b6dedae5384e3330dda0accfbb0e2859b911e60730,True,fataleast,5,Affliction
c4a427034d1f0eca3fa59235b4dd3645c098350571afad0094fa1b23165afdf8,True,sarkolannister,€,Affliction
21401559749003a36d7ea368cc7ca2cc74c5a30095e74c954a7d6a7450598559,True,destro43000,Vente2,Affliction
afa9bcddf44089d74d9fd6ee5c20b6bb89b74f9843264c7905a2719e286c3047,True,Tecfree,3,Affliction
094bb01cfdd049ab97b7cd8f050d945a599e6a3f9c2495edd65945cb6bef1279,True,Prince489,~price 3 chaos,Affliction
4ed3d9ca606ec6eaf4e48e1583611057b6f6ba4dd76a48fa143e82e72fb053de,True,JohnnyKiII,✪$ SELL -1- $✪,Affliction
e9ef586cf6132372cb0484dd56fb6ee70bb1f6452f87c6001a7fd1a1786d5fc2,True,poelucky,~price 2 divine,Affliction
c1d0b1cf433c7b2e23416de28bb42cad1688c283ac6606c7f1367ddce0bf93e2,True,cesarhghc,BROG,Affliction
8f4cdb8fd16248a4a296bfb008d4f3338667deac0511c39c8dc1045a1f4622ad,True,stoplors,~price 0.999 divine,Affliction
d92a409fc9b859e8e761cd1ab8c68dead59ca1552c422f2abdc699a998d95cf0,True,Etzel_PoE,~price 1 divine,Affliction
74b76aa9cd4dd7098b11a84415e260f849a0f922b7fa4481f9ec5fcfc7c53232,True,Vegasm,Sell,Affliction
85c4cd013a58387b3576629ed3a3458caacedc72d7c4841046ba8de24b01bc70,True,Kosoi_Mahal,Продажа,Affliction
554a469a6572523b8ca8884b3620f3cc7e8c45450f6e6978dc476cd3484cee27,True,kaskinn,Venta - 3,Affliction
d73508b1c108ce244bfa230821164a0c48a4c25ec61f8f0e4056ed6ff80c224b,True,bobovindo,Trade 3,Affliction
a78af1e0fe3f68fd249ae461e3368b1b62f780f8123838085ce362f2367acd00,True,AshaSalorina,~price 2 divine,Affliction
4c2da96d1e9508b218ca3b0c38d7c8e594db4f466f42cb3f3cb237488a6aceb7,True,Heexa,~price 8 chaos,Affliction
7881cdac4a2421793ec97a1e9348fe045bc2d98e5753e781244db7b4aef85eb7,True,Heexa,$$$,Affliction
1cf8e19ff41d7b326ddfc15719322d04a0c454f2ca8b480aa109cba0fcf1a398,True,COCICOn,тов,Affliction
cfe709414e14af9add3f82d818aed4868e0bf846f2e99db4231a1d200b4e99e8,True,Tuffa,~b/o 1 divine,Affliction
76748ad693cb0c708577e576bec74e5ea94e7049152d7a9842ee9215c51f7b9d,True,MercurialYB,sell 2,Affliction
09da877e5075a896dc2de96d47542e3470a95bdb88df5b5b8f523c7174835d55,True,Maradaun,4,Affliction
29077cf314e3f52b48f2af34890b01cc3c71ab2acee959f524c17db5b0584b8d,True,OCKAZ,deluop,Affliction
a18d1d96853b8ca745356af6af091ad00a391d657b284cc36a03e5d74b2b4370,True,MrBiggls,Торг,Affliction
29a6ac1257f66b79c52ff850963ad73441018f61c012456860a710f2db8cc406,True,doylezeebeast,$$$,Affliction
613c3fa411966c1908b572b989c51596429706b465461b6f99efcdd662b9d77a,True,zubastig1,b/0,Affliction
ae419cba82c9605a5bfec28fe326c57346c4160d3d7850933337c6e45d2d559c,True,Furkan2233,dumptabUnique,Affliction
22be078088f7b4379bd1625b7e82ac9c5c1853296de1547e677806f851cee728,True,gallonofmilk1,Quad,Standard
466d69c9db6b0f882f8ede9e8fdf6d3f5a11cd0a58dd0d641a43898fdbbb114d,True,Cone666,$$$,Affliction
7734a56674853cc85b70d41b49f5c42f678f92e6d6efe17e352dea06e4aa8bd5,True,ahshiaaaaatov,~b/o 111 divine,Affliction
920d0058b3b49cab0526e114291c735f7850baf8381344bcf600551f57118edb,True,Plushiess,~b/o 430 divine,Affliction
b64fea7babea921bbe9749622968128c8eed32fa2633a754ddf4f6feaa0c6600,True,GustiMacelaru,Good stuff,Affliction
e2ad044ca2c60d47cb17a37fd5be667dc264ab23eb400fe2ec6efd3c831bdc89,True,sir_perrilla,Money,Affliction
9448941998e0f96455768a09246099ffe88e531f24a3fbd1c05a7e179c4cf69f,True,SKJustti,~price 1 divine,Affliction
e7e10c5e004c49a45a08724c76c488c20d5e1df1b63921b2298b892b6268c963,True,Langsair,~b/o 8 divine,Affliction
76e2d6a2cadca915cc543382a8a55362490cf8efa542eed86a5ca8434dd057c4,True,UpTheTren,Sell Stash,Affliction
ccc2fab6b575890d046eb1ed1f99af622b195e2fb5e72d3b4a56e3edf2080d8f,True,Под_РадиациеЙ,~price 10 divine,Affliction
69f6b8ef8dc0ae3cd28689c1548bcc29607f1a40f3641b8fff937b8dbb408be3,True,HeavenMercury,Unics,Affliction
e216c6a8a627b8ba9c472e0b6bcf69e3f941915a08ef5d33022dd08ec40dadf0,True,Silannah,Uniques,SSF Affliction
cd9f6fec9b3c08a3d819fab7c4cac230f1685b052c19377a636588029db9dad3,True,Nebelwolfi,~price 1 divine random,Affliction
eec20b17a5c3cc6f0cc80f614545eb1681ecee7e48bfa8425c6bc8b8210d842b,True,bLzera,damp,Affliction
f3354aeccbeb5d9c426b279c515e41a9fde4dd9dd6b15647a2773f0d264a95af,True,sasha132100,~price 1 divine,Affliction
4745e36a2423f9ab6377e934b6edcb9a347fb4b3ae13097e1187a2fa40cab10d,True,brutalsimon1,-> TRADE -all,Affliction
75fb8f8c0e65a61436353bffe67cfdd34daf1bf123bb1b1a3bda528060c53482,True,Mardt,Sell,Affliction
527faa9c9b189c54b5970a14214c0e27d1c248691efe754941a097677e6a746a,True,xMrAndersoNx,1,Affliction
8915d081d6846c37bc55d59a368df2abbe5bae08fc9c80b027973c9fe01b5b41,True,Blessedbyheavens,One's 'ick,Affliction
a3da3a123226d848c1957b4721c8bcb2d65c636a7bfe058f50c85d598f33a2fa,True,slecht1,~price 1.9999 divine,Affliction
f5c955aca2b00cf4e0ce7cfd79ed1583e01600a7d3d9b8da3027dfbf5b087c2d,True,diabellek,handel,Affliction
aa907b124fc64bd8320cbbe492e7aa23fb8d70fc73fb47b438b7cd024615d243,True,ngtevton,trade2,Affliction
a64dba58e7f9215761d8fcba9108a7acc7fe0fda5dad5d9dc285c1961ade8304,True,Hetman88,~price 1 divine,Affliction
4b157e804b65effebf2560deb5ba3a21cdf18c27e4ad66a271df7e8fbdee5112,True,PetrAllen,T,Affliction
a3633384942b7000d19aab3b747218bb0821ff3c8ba432318f36d94f77b34841,True,Novy1225,SELL,Affliction
