stashId,public,accountName,stash,league
826ee8547a3c145adedd7073cce63d99f345460fa5994b3085365330ce493efd,True,minimerk,Trade2,Affliction
858dc7c5b572e574042ef569f92b1db408648619685f239a5ca31184a152c9e8,True,Voltreffer,$$,Affliction
6d09d0d49fec47c4a12fa57791913a5be4ac363d3b1e4440cb60a89d7b6893de,True,zynzz,S1,Affliction
009cb9f9ba0043b8ff5128b5f503129ce2d0ef4bcdefe59103d3bf4fcfbadcae,True,xXereXx,sell,Affliction
c2b0f26013dd0aab24f2312119193b99abe7380a52ff040caa8fe0c5a90ce360,True,ElectroSpike,Delve and Misc,Affliction
eb9cbbf9ff5b691ca65d1d215fc73639879d88221a517d46afd049b42a2467a2,True,Evensomburg,123,Standard
3e68626a6549e140e7397a62343437291b020010fdc0feb669836542e001d241,True,MrHer3tic,S,Affliction
68ae03eab1a14731b155e10705cdcae5906c483462337659c9b107b2a23ce270,True,magiCz3r0,~price 1 divine,Affliction
ba930ba0b1c77a5755d1d41a94761e49081dfd7899b8848d0fc57e34bbf7103e,True,Arayas_BWP,sells 1,Affliction
788eaece2bd8dffaaee4790c3b93cc4f7700f24319a9804977cc7814ec149c34,True,TBomber,S,Affliction
ad77bbcb4d57a4bc69b1fe29f7ed8e890062f9f4d250f0e6b9bfac53da744878,True,serg_43,Т2,Affliction
e396ec6a470134e0ee562f8092d11e552cfa7bb85b8489377d5bab6096085e2f,True,whugo,@@$$,Affliction
fd291dff8147d7c1ee28f38d455b2dc78c12579c2814a3cd320b02fbbbb63e1f,True,heungheng,~b/o 25 chaos,Affliction
906791133b7d32c7e3b60dc15181e1ea6c57b65f3aa3ac2ced410f9d01fca224,True,wwwfowkr,~price 7.5 divine,Affliction
3600b974ce4752edabd47425f081bcc3852c59b1540a6df3501e39e5be08cd79,True,moffo47,~price 300 divine,Standard
66aa0f4c794bd76339f49aa3383ffbedad2a220dd0ca0fb4c35f438786fd8f28,True,CereboFistulus,PUB,Affliction
e02c416aba552ac56563c21ff7e01643a1e1e699dfcf725be758d643bc2207e2,True,Lord965,1с,Affliction
8ff1ac8d5a30af72748b01cc5636fe42f8054c771fa8b66e409b444b869c3874,True,CountWiggin,~b/o 25 divine,Standard
ebeff56403621dc75a1aea1be2b5c0108d6776f53b1c725063201213cf2ce8b1,True,FatalMurderer,7,Affliction
681f749f08f008a7c1a2ab6a6ba18fec74c04a39c6cedbec1b4e8f6b0bcbbb56,True,Jlavanda,торг2,Affliction
5ac8850ef394b951106a99efc7b81cc6abc905cb9e37ce5bd8188cf8d307fb3f,True,Bellatrix__Lestrange,sell,Affliction
a00fe0a421402e712a1210e5732dbdfc6bde5eeb53db34de1ab77f1c14900bd3,True,MatucW,$$$,Affliction
9f0dd540f18837635718d4fbcf79821b59af0460bb478feaccaea64f5ea46a56,True,Snôrkkis,~price 0.5 divine,Affliction
e95606cadee21a264de8b8dfe216511fc7b2e48482e18571009c7e08de704aaa,True,JeysonAndres,$$$ 3.23,Affliction
aff61befb7491e39cc75e906db38cf591b4cc1c14888c295647e8120df2164e1,True,Uriel_Seraphin,~price 125 chaos,Affliction
59f0fd5c30e16b927d53fd6602aef639961a8709cc0bbc0df77b4a3cab95b07e,True,kimek,~price 1 divine,Affliction
bf87a3fdbe058d8b04d66ca69cdd3cea3cef588af7632a32d26dd4ec2ad39680,True,Brossiah_,~price 1 divine,Affliction
b7e44a7824a7abe3d3069a063ab70e4c009a3fd91688a6c687cfac5d35e83fe2,True,ahmadagain,5,Affliction
34a1677ead310d6f4d42931623f37b8cb066849d0bc3e80460bfe29a6cb0715e,True,jmaster167,Premium #2,Affliction
7c32c23262651f675810658fcd17aa673f1fdf24efc7160d8d72cc4fb4e39061,True,iiiMORE,Piac1,Affliction
051669249331569f25e58d6d07607609f13b8a058003935d4036df22048d8155,True,Paradoxe37,vente,Affliction
5022ba35fa98a40984243c65e0a5a1f6611baa9d8fb7860ac27a8148301979c1,True,xxlSimpsonlxx,SSS,Affliction
3fade6e2fd6fe88a90a61d49bc7532c838109db28b87254a5e475fc31a1d75d2,True,xcdPrzFMgh,sale1,Affliction
be2b565fa19cde6bba91e65814a7549bae9d7a669945e5a49d28380de845909e,True,Runite_NL,~price  chaos,Affliction
a76cd3282a352db14202fc81f566bb26e4dce9a487f63e431f72320ae12fdd3c,True,Ramuthra,~price 1 divine,Affliction
dc8648332e91da2bee0c7788239d8866d03835e8b08581d2535c5ccdc13e6d9a,True,az1905,II,Affliction
b98cffb8f50a8f4a8e22dc9f74aa18881b60dd4732c10c380f7bcbe2493d2a59,True,Linkmello,$,Affliction
12199d1d536182202a8364dd22cdb8b6b77a0bda6f2edad115e02bdf6da975d3,True,Lappen_xD,~b/o 2 divine,Affliction
78694a776fd5ebf0d8f7162cc7b741d3a316c309647b91532667d9a4380c6092,True,Matlon,sell,Affliction
170071291d1de79153483fd7d75fce810d5116d9b75ec89537c8ad08c4c5ac98,True,cary86121,Trade,Affliction
e27896daf2571bf32f064f86070adefdc5e4a0aaeaaf711cc0f412d670e1da4f,True,loiselle1234,for sale 2,Affliction
2281a49d7804572cbf26afe0b8c8fac9677e7c4f318f4aa6c681e1bb966f4b93,True,nordari2,money,Affliction
1c54ce5b9d04d2353ea5d5a5be6afb717eba8d97f5b4350a3ad5f05e21482e6e,True,flandie2,~price 100 chaos,Affliction
3a4738e52b072e4dd206e33afc9b9b8f0c0406343fd0bd891859940e08968a7f,True,Borguss13,BO2,Affliction
a995c68702830310ff9740c85a1acbfa88c07d00a6a87d9706b546aa1865dfb4,True,joagrasch,Items for Sale,Affliction
3bddfbc9d1ae368f3c4bf1b62e8285ca3c2b8d516504f92ee7f51935d0c9056b,True,Jro1221,4,Affliction
dd985c1967cc59dabe2c2a921cb3e7b9d32511c4c1defb430de3b9ce8df3f1b5,True,wikihow000,creme de la creme,Affliction
6f67c72f85706aed879f1ab442be1b3daab57413f3e3513ccaecd7a2411a6a0d,True,Musaev,trade,Affliction
c3086b36b344a469ecb85603c4d6e53feac2d8c72024eab8d1afec798e66c582,True,DirtyDeedDoneDirtyCheap,shop,Affliction
cecb81e2813a99270901678c7e082ca42d6fffa33e4c08d4b4f45c1a1b83c87b,True,kimseu50,vat,Standard
b378ea38bb153834541055c46f58e6a3b45cb6b366940022a4a12105b2a4c601,True,Jaaraargh,dp,Hardcore Affliction
b9d82bfc1b6be40129806f2c18380d3aa6d58f20a2b391d7d18b01119390e00a,True,GrimGriefer2,~price 1 divine,Affliction
3e77a6b839b990d0473bd01ca2fd083e20dbeeeb2627f3e2485bc81358937ec5,True,_Joy_,Sell,Affliction
6312fa594097918c1774cc94b192074581f6a3f243da1101728227f7976ece6a,True,leo1008,5,Affliction
1f4482473233337181fca6947291eccd15788e42dc26dffbfa6ccff9993cc269,True,Helios_32,$,Affliction
d7fce6d9be5f601ffeeb22432a1771b483734c119c919622cd321edfc93a4434,True,jobino228,Торг,Affliction
605ba4132685b05d86fca7b4414b1bb1169c09943b604f18066b4fa3a682bb47,True,Ascency,~price 1 divine,Affliction
b8f7af185d8c13270c477abe60d0acd4203ae582b8c658dee3a01b52514423a7,True,Sisalik,Sell,Affliction
6f3ad4035180eec5e41c74005fc014edcc270aab36409906f8ea93830a1e5907,True,Tuggdeez,Armor Stacker,Affliction
55ffa397c62b920fcd9dbab3117bc3f8c4dd9ba459cf96784e7529fd85ed5976,True,dentet05,1,Affliction
f76336ce1f768fe9d3ebaf6035b6afede60f047bf917455f515f811afb3c3ada,True,Haxis_04,1div,Affliction
4321235fbb58ec573a3e2b46aa175598e4792b007f0aeafe81e6005771ceb7ea,True,crixu9,Long Sell,Affliction
f598af13fcb9d8ec05ddc8e2442fb2e0f2a1081408d85282aadcd1df6ed010e4,True,Falonar,Серегино Говно,Affliction
a5515fe3347bbadedbc28df4deeff9ecf22c48b854c6383eda3f1ae59ef2df8c,True,Demonforse,торг,Affliction
ec694a06df6cf52097632b651132b527a10c35cb8ffcf76f464ab89fef323ec8,True,Montelio_,$$,Affliction
1413df6c6dbbf6d264e45da011d95bfd4f94eeb97be8daaf4c46d879ccb3bdca,True,borgfish1,3_sell,Standard
27a6247045924a9b630af39da454a25cc81b2f7f5ad4c709e583156d3ea7971e,True,Kvacksalvare110,Store 2 Guild,Affliction
c54c4df4ffbb2702128ab872a111c8e6f34c10c8a6e7bb8ee5528409b3eade1f,True,ferakz,10,Affliction
d80df6f670e425457d5af86b6664fca0070c6a6ac6fa714c1dffc13b058a49a0,True,IerogliFs,1,Affliction
80474f377d1c625443c1421a3f5ec8dafe7465b6f9d9400e7e5eb24513ff3792,True,Sinse_,$$,Affliction
9aaca39534abaa3823e686ddff3fba18d0427f0119cee10b391740ce0c167b9c,True,garout,~price 1 divine,Affliction
dda9cf380321e2c63f0b60d23459e8668e9bd615b98f6d4f235e130200f7c256,True,Althraell,~b/o 2000 chaos,Affliction
899f27d4bc6487ad1ac43b4aa2dbd034a3a81b31cb1ae7c14412c55708344c4e,True,POEGuy007,~price 25 divine,Affliction
601f57e1d39dc3b839ce8c3b588c979274353430df108b5620303a99f1dc3056,True,drtybritches,~price 1 divine,Affliction
776c40f4cc5b4095167aca75fb5087e96f1b4154d9075cbb2f7fddd5c7612ed5,True,anton1231238,~b/o 1 divine,Affliction
95be41776933fd809358266e1d3029b8ecfd55d8d79ef5a82f9559f6d8081af9,True,byftherd59,Q-1 £,Affliction
5bd212f48abb5c9b85bc687aa8103932ed91f6ef3328efb50b8715af1ca13a47,True,byftherd59,ZİKİŞ $,Affliction
c24a958a0004e1f5b1aef2a0f6f77d371b2127ab507aa17e225a1ec20a01fa4a,True,popo13800,for sell,Standard
5900b8d8e67cd322a36c3511319d1581223140ccaabae11fedb2b88e8f52df9a,True,XzeeeN,Sell,Affliction
66f1cac0ab5300fb7d1444ddd5ee369b533d5fc0bad7d17188d51b8b5f219b72,True,Quintjk,Sell,Affliction
70e91b4e3f19863377c67ee6038f6934439b0f2276a5420d393dc8a95106c42b,True,K1rja,Vault,Affliction
677cf0d6a6a2bf7f4f8b1e533c47c963ff80c98e3e37ce8de7eeb0822520ac2d,True,Bastroon,~price 1 divine,Affliction
9cfeb9b9d43637681e6343d40c39c94e2d1b70929bd256c838abdfb1957854f7,True,vlad1010ss,~price 15 chaos,Affliction
9a26bf591df2b65997b3d4c60373ab66142aa026957e57be061358df92b71238,True,Hoffen,mas2,Affliction
12c3e53954343722bd86fc2a3bd4d1cd997a5e1c7090abfa6df294e7ec18b4bb,True,Coxining,Shop,Affliction
