itemId,range,position,modifierId
0,0.9615,0,23
0,0.25,1,24
1,0.6515189873417722,0,8
1,0.25,1,9
2,0.20670886075949368,0,3
2,0.25,1,4
3,0.118125,0,26
3,0.0,1,27
4,0.0389873417721519,0,3
4,0.25,1,4
5,0.5662666666666667,0,0
5,0.0,1,1
6,0.849,0,26
6,0.5,1,27
7,0.867375,0,23
7,0.25,1,24
8,0.5420253164556962,0,8
8,0.25,1,9
9,0.37075,0,26
9,0.0,1,27
10,0.449625,0,23
10,0.25,1,24
11,0.1704,0,0
11,0.0,1,1
12,0.2815,0,26
12,0.5,1,27
13,0.010759493670886076,0,8
13,0.0,1,9
14,0.6711392405063291,0,3
14,0.0,1,4
15,0.79,0,0
15,0.0,1,1
16,0.930875,0,26
16,0.25,1,27
17,0.802625,0,23
17,0.0,1,24
18,0.8355696202531645,0,8
18,0.0,1,9
19,0.8369620253164557,0,3
19,0.0,1,4
20,0.7934666666666667,0,0
20,0.5,1,1
21,0.1995,0,26
21,0.5,1,27
22,0.4779746835443038,0,8
22,0.25,1,9
23,0.7112658227848101,0,3
23,0.25,1,4
24,0.5516,0,0
24,0.25,1,1
25,0.43075,0,26
25,0.25,1,27
26,0.5,0,226
26,0.0,0,227
26,1.0,0,228
26,0.85,0,260
26,0.8,0,240
27,1.0,0,226
27,0.5,0,227
27,0.0,0,228
27,0.65,0,260
27,0.9,0,282
28,0.5,0,226
28,1.0,0,227
28,0.0,0,228
28,1.0,0,230
29,0.814375,0,23
29,0.25,1,24
30,0.5546835443037975,0,8
30,0.5,1,9
31,0.32925,0,26
31,0.25,1,27
32,0.573625,0,23
32,0.25,1,24
33,0.719875,0,26
33,0.5,1,27
34,0.7668354430379747,0,3
34,0.25,1,4
35,0.12973333333333334,0,0
35,0.0,1,1
36,0.8944303797468355,0,3
36,0.0,1,4
37,0.16575,0,26
37,0.25,1,27
38,0.0585,0,26
38,0.5,1,27
39,0.207,0,26
39,0.0,1,27
40,0.514875,0,26
40,0.25,1,27
41,0.733875,0,26
41,0.5,1,27
42,0.9355,0,26
42,0.5,1,27
43,0.864875,0,26
43,0.0,1,27
44,0.92175,0,26
44,0.5,1,27
45,0.93225,0,23
45,0.25,1,24
46,0.7492405063291139,0,8
46,0.5,1,9
47,0.5546835443037975,0,3
47,0.25,1,4
48,0.5066666666666667,0,0
48,0.5,1,1
49,0.861625,0,26
49,0.0,1,27
50,0.853125,0,26
50,0.0,1,27
51,0.313375,0,23
51,0.0,1,24
52,0.076625,0,26
52,0.0,1,27
53,0.52175,0,26
53,0.0,1,27
54,0.9973417721518988,0,3
54,0.5,1,4
55,0.6153846153846154,0,170
55,0.7142857142857143,0,173
55,1.0,0,136
56,0.6276,0,0
56,0.0,1,1
57,1.0,0,226
57,0.5,0,227
57,0.5,0,228
57,0.3,0,289
57,1.0,0,293
58,0.6666666666666666,0,90
58,1.0,0,106
58,0.8,0,157
58,0.6666666666666666,0,84
58,0.8666666666666667,0,158
59,1.0,0,160
59,1.0,0,161
59,1.0,0,162
59,0.6,0,134
59,0.8857142857142857,0,172
59,0.0,0,127
60,0.7142857142857143,0,173
