minRoll,maxRoll,position,effect,static
,,0,"Movement Speed cannot be modified to below base value",True
2,3,0,"#% of Armour applies to Fire, Cold and Lightning Damage taken from Hits",
10,30,0,"#% chance to gain an Endurance Charge when you Stun an Enemy",
3,6,0,"#% increased Area of Effect per Endurance Charge",
10,30,0,"#% chance to gain an Endurance Charge when you are Hit",
2,5,0,"+#% to Chaos Resistance per Endurance Charge",
10,20,0,"#% increased Life Regeneration rate",
,,0,"Totems Taunt Enemies around them for 2 seconds when Summoned",True
5,12,0,"Recoup #% of Damage Taken by your Totems as Life",
,,0,"Enemies you or your Totems Kill have 1% chance to Explode, dealing 500% of their maximum Life as Fire Damage",True
5,20,0,"#% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit",
3,8,0,"#% increased Strength",
1,2,0,"+#% to maximum Fire Resistance",
20,50,0,"#% reduced Ignite Duration on you",
,,0,"Cannot be Stunned while you have at least 25 Rage",True
5,12,0,"Adds # to # Physical Damage if you've dealt a Critical Strike Recently",
14,27,1,"Adds # to # Physical Damage if you've dealt a Critical Strike Recently",
2,5,0,"+# to Maximum Rage",
2,5,0,"Warcries grant # Rage per 5 Power if you have less than 25 Rage",
3,8,0,"#% of Leech is Instant",
1,2,0,"#% of Attack Damage Leeched as Life and Mana if you've Killed Recently",
3,6,0,"Nearby corpses Explode when you Warcry, dealing #% of their Life as Physical Damage",
,,0,"Cannot be Stunned while Fortified",True
10,30,0,"#% chance to Taunt on Hit",
,,0,"Banner Skills have no Reservation",True
10,25,0,"When you create a Banner, it gains #% of the Stages of your placed Banner",
,,0,"Gain Adrenaline for 4 seconds when you reach Low Life",True
,,0,"Impales you inflict last 1 additional Hit",True
5,20,0,"Melee Hits have #% chance to Fortify",
2,5,0,"Bleeding Enemies you Kill Explode, dealing #% of their Maximum Life as Physical Damage",
10,30,0,"Attack Hits against Bleeding Enemies have #% chance to Blind",
10,30,0,"Attack Hits against Blinded Enemies have #% chance to Maim",
,,0,"Cannot be Stunned by Hits you Block",True
1,3,0,"+#% to maximum Chance to Block Attack Damage",
