minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
20,40,,0,Auras from your Skills have #% increased Effect on you,,Auras from your Skills have ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect on you,46
20,40,,0,#% increased Effect of Non-Curse Auras from your Skills on Enemies,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Effect of Non-Curse Auras from your Skills on Enemies,47
,,,0,Always Scorch while affected by Anger,True,,48
,,,0,Aura Skills other than Anger are Disabled,True,,49
,,,0,80% increased Effect of Arcane Surge on you while affected by Clarity,True,,50
,,,0,Aura Skills other than Clarity are Disabled,True,,51
,,,0,+1 to Maximum Endurance Charges while affected by Determination,True,,52
,,,0,Aura Skills other than Determination are Disabled,True,,53
,,,0,+1 to Maximum Power Charges while affected by Discipline,True,,54
,,,0,Aura Skills other than Discipline are Disabled,True,,55
,,,0,+1 to Maximum Frenzy Charges while affected by Grace,True,,56
,,,0,Aura Skills other than Grace are Disabled,True,,57
,,,0,10% increased Action Speed while affected by Haste,True,,58
,,,0,Aura Skills other than Haste are Disabled,True,,59
,,,0,Always inflict Brittle while affected by Hatred,True,,60
,,,0,Aura Skills other than Hatred are Disabled,True,,61
,,,0,You can apply an additional Curse while affected by Malevolence,True,,62
,,,0,Aura Skills other than Malevolence are Disabled,True,,63
,,,0,25% more Critical Strike chance while affected by Precision,True,,64
,,,0,Aura Skills other than Precision are Disabled,True,,65
,,,0,"Enemies you Kill while using Pride have 25% chance to Explode, dealing a tenth of their maximum Life as Physical Damage",True,,66
,,,0,Aura Skills other than Pride are Disabled,True,,67
,,,0,+3% to all maximum Elemental Resistances while affected by Purity of Elements,True,,68
,,,0,Aura Skills other than Purity of Elements are Disabled,True,,69
,,,0,30% of Cold and Lightning Damage taken as Fire Damage while affected by Purity of Fire,True,,70
,,,0,Aura Skills other than Purity of Fire are Disabled,True,,71
,,,0,30% of Fire and Lightning Damage taken as Cold Damage while affected by Purity of Ice,True,,72
,,,0,Aura Skills other than Purity of Ice are Disabled,True,,73
,,,0,30% of Fire and Cold Damage taken as Lightning Damage while affected by Purity of Lightning,True,,74
,,,0,Aura Skills other than Purity of Lightning are Disabled,True,,75
,,,0,Regenerate 15% Life over one second when hit while affected by Vitality,True,,76
,,,0,Aura Skills other than Vitality are Disabled,True,,77
,,,0,Always Sap while affected by Wrath,True,,78
,,,0,Aura Skills other than Wrath are Disabled,True,,79
,,,0,Unaffected by Curses while affected by Zealotry,True,,80
,,,0,Aura Skills other than Zealotry are Disabled,True,,81
