minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
10,19,,0,#% chance to gain an Endurance Charge when you Stun an Enemy,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain an Endurance Charge when you Stun an Enemy,82
20,30,,0,#% chance to gain an Endurance Charge when you Stun an Enemy,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain an Endurance Charge when you Stun an Enemy,83
3,4,,0,#% increased Area of Effect per Endurance Charge,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Area of Effect per Endurance Charge,84
5,6,,0,#% increased Area of Effect per Endurance Charge,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Area of Effect per Endurance Charge,85
10,19,,0,#% chance to gain an Endurance Charge when you are Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain an Endurance Charge when you are Hit,86
20,30,,0,#% chance to gain an Endurance Charge when you are Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to gain an Endurance Charge when you are Hit,87
2,3,,0,+#% to Chaos Resistance per Endurance Charge,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Chaos Resistance per Endurance Charge,88
4,5,,0,+#% to Chaos Resistance per Endurance Charge,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Chaos Resistance per Endurance Charge,89
10,15,,0,#% increased Life Regeneration rate,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Life Regeneration rate,90
16,20,,0,#% increased Life Regeneration rate,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Life Regeneration rate,91
5,7,,0,Recoup #% of Damage Taken by your Totems as Life,,Recoup ([+-]?([0-9]*[.])?[0-9]+)% of Damage Taken by your Totems as Life,92
8,12,,0,Recoup #% of Damage Taken by your Totems as Life,,Recoup ([+-]?([0-9]*[.])?[0-9]+)% of Damage Taken by your Totems as Life,93
5,10,,0,#% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit,94
11,20,,0,#% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit,,([+-]?([0-9]*[.])?[0-9]+)% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit,95
3,5,,0,#% increased Strength,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Strength,96
6,8,,0,#% increased Strength,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Strength,97
20,30,,0,#% reduced Ignite Duration on you,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Ignite Duration on you,98
31,50,,0,#% reduced Ignite Duration on you,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Ignite Duration on you,99
5,7,,0,Adds # to # Physical Damage if you've dealt a Critical Strike Recently,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Physical Damage if you've dealt a Critical Strike Recently,100
14,27,,1,Adds # to # Physical Damage if you've dealt a Critical Strike Recently,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Physical Damage if you've dealt a Critical Strike Recently,101
8,12,,0,Adds # to # Physical Damage if you've dealt a Critical Strike Recently,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Physical Damage if you've dealt a Critical Strike Recently,102
18,22,,1,Adds # to # Physical Damage if you've dealt a Critical Strike Recently,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Physical Damage if you've dealt a Critical Strike Recently,103
2,3,,0,+# to Maximum Rage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Maximum Rage,104
4,5,,0,+# to Maximum Rage,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Maximum Rage,105
2,3,,0,Warcries grant # Rage per 5 Power if you have less than 25 Rage,,Warcries grant ([+-]?([0-9]*[.])?[0-9]+) Rage per 5 Power if you have less than 25 Rage,106
