itemId,range,position,modifierId
0,1.0,0,226
0,0.5,0,227
0,1.0,0,228
0,0.8,0,240
1,1.0,0,226
1,0.0,0,227
1,0.0,0,228
1,0.2,0,233
2,1.0,0,226
2,0.0,0,227
2,0.5,0,228
2,0.2,0,242
3,0.2750632911392405,0,8
3,0.0,1,9
4,0.8810126582278481,0,3
4,0.25,1,4
5,0.02925,0,26
5,0.5,1,27
6,0.8,0,88
6,0.5,0,108
6,1.0,0,94
6,1.0,0,185
7,0.5,0,226
7,1.0,0,227
7,1.0,0,228
8,0.0,0,226
8,0.0,0,227
8,0.0,0,228
8,0.3,0,254
9,0.346,0,26
9,0.25,1,27
10,0.852125,0,26
10,0.25,1,27
11,0.237125,0,23
11,0.5,1,24
12,0.5,0,226
12,0.5,0,227
12,0.5,0,228
12,0.3333333333333333,0,239
12,0.55,0,247
13,1.0,0,96
13,1.0,0,140
14,0.9935443037974684,0,8
14,0.0,1,9
15,0.631875,0,23
15,0.5,1,24
16,0.0,0,226
16,0.5,0,227
16,1.0,0,228
16,0.5,0,277
17,0.4866666666666667,0,0
17,0.25,1,1
18,1.0,0,226
18,1.0,0,227
18,0.5,0,228
18,1.0,0,234
18,1.0,0,287
19,0.50875,0,26
19,0.0,1,27
20,0.76,0,175
20,1.0,0,94
20,0.3333333333333333,0,127
21,0.169375,0,26
21,0.25,1,27
22,1.0,0,88
22,0.7142857142857143,0,187
22,1.0,0,176
23,1.0,0,160
23,1.0,0,161
23,1.0,0,162
23,0.6,0,134
23,0.75,0,124
24,0.7538666666666667,0,0
24,0.0,1,1
25,1.0,0,226
25,1.0,0,227
25,0.5,0,228
25,0.5333333333333333,0,259
25,1.0,0,268
26,0.0,0,226
26,1.0,0,227
26,0.5,0,228
26,1.0,0,285
26,0.7,0,245
27,0.5,0,226
27,0.0,0,227
27,1.0,0,228
27,0.95,0,254
27,0.75,0,294
28,0.5,0,226
28,0.5,0,227
28,0.5,0,228
28,0.6,0,274
28,0.8,0,242
28,0.4,0,271
29,0.0,0,226
29,0.0,0,227
29,0.5,0,228
29,0.75,0,282
29,0.25,0,277
30,1.0,0,226
30,1.0,0,227
30,0.5,0,228
30,0.3775,0,232
30,0.13333333333333333,0,259
30,0.8,0,240
31,1.0,0,226
31,0.5,0,227
31,0.0,0,228
31,0.25,0,257
31,0.6666666666666666,1,258
31,0.9,0,245
32,0.4,0,131
32,0.8571428571428571,0,173
32,0.3333333333333333,0,127
32,0.75,0,136
33,0.6,0,181
33,0.9666666666666667,0,90
33,0.5714285714285714,0,172
34,0.7,0,85
34,0.44,0,175
34,0.35714285714285715,0,173
34,0.6666666666666666,0,93
35,0.7333333333333333,0,138
35,0.6153846153846154,0,170
35,0.5714285714285714,0,187
35,1.0,0,95
36,1.0,0,106
36,0.52,0,175
36,0.9,0,159
36,0.5714285714285714,0,171
37,0.6733333333333333,0,167
37,0.5333333333333333,0,179
37,0.7692307692307693,0,174
37,0.96,0,116
38,1.0,0,180
38,0.7142857142857143,0,86
38,1.0,0,185
39,0.36666666666666664,0,90
39,0.55,0,83
39,1.0,0,184
40,1.0,0,160
40,1.0,0,161
40,1.0,0,162
40,0.7333333333333333,0,145
40,0.7333333333333333,0,179
40,1.0,0,121
41,0.7142857142857143,0,173
41,0.9,0,141
42,0.9639240506329114,0,8
42,0.25,1,9
43,0.6942666666666667,0,0
43,0.0,1,1
44,0.5333333333333333,0,169
44,0.4,0,178
44,0.6666666666666666,0,84
44,0.75,0,107
45,1.0,0,180
45,0.6666666666666666,0,106
45,0.8,0,128
45,0.6666666666666666,0,178
46,0.3341772151898734,0,8
46,0.0,1,9
47,0.9717721518987342,0,8
47,0.25,1,9
48,0.1935,0,26
48,0.0,1,27
49,0.7506666666666667,0,0
49,0.25,1,1
50,0.5555555555555556,0,183
50,0.6,0,128
50,1.0,0,82
50,1.0,0,93
51,0.92,0,175
51,0.76,0,186
51,0.9,0,103
52,0.6923076923076923,0,170
52,1.0,0,174
52,0.55,0,115
52,0.625,0,107
53,0.8666666666666667,0,138
53,0.7142857142857143,0,187
53,0.55,0,120
53,0.7142857142857143,0,86
54,1.0,0,180
54,0.9,0,141
54,0.5428571428571428,0,172
55,0.6666666666666666,0,184
55,1.0,0,93
55,0.65,0,136
56,0.8166666666666667,0,159
56,0.7142857142857143,0,86
56,0.75,0,136
57,0.6666666666666666,0,138
57,0.75,0,137
57,0.5333333333333333,0,179
57,0.8,0,113
58,0.7333333333333333,0,138
58,1.0,0,128
58,1.0,0,84
58,0.0,0,127
59,0.6,0,169
59,0.6666666666666666,0,152
59,0.5857142857142857,0,171
60,0.65,0,111
60,1.0,0,126
60,0.7692307692307693,0,174
60,0.8571428571428571,0,86
61,0.7142857142857143,0,144
61,0.7333333333333333,0,157
61,0.9,0,158
61,0.6666666666666666,0,139
62,0.8,0,147
62,1.0,0,129
62,0.8,0,95
63,0.65,0,103
63,0.5,0,107
63,0.42857142857142855,0,91
63,0.3076923076923077,1,92
64,0.625,0,110
64,0.3333333333333333,0,127
64,0.6666666666666666,0,93
65,0.7333333333333333,0,90
65,1.0,0,187
65,0.8,0,172
65,0.9230769230769231,0,174
66,0.8,0,135
66,0.75,0,164
66,0.7,0,130
66,0.6666666666666666,0,140
67,1.0,0,82
67,1.0,0,96
67,0.8285714285714286,0,171
67,0.6666666666666666,0,93
68,1.0,0,133
68,0.6,0,154
68,0.5714285714285714,0,86
68,0.8,0,136
69,0.875,0,108
69,1.0,0,168
69,0.6666666666666666,0,94
70,1.0,0,133
70,0.9333333333333333,0,131
70,1.0,0,126
70,0.95,0,103
71,0.9333333333333333,0,178
71,1.0,0,84
71,0.0,0,127
72,1.0,0,96
72,0.6666666666666666,0,93
72,1.0,0,140
72,0.55,0,136
73,0.5,0,180
73,0.4,0,159
74,0.6666666666666666,0,165
74,1.0,0,178
75,0.6666666666666666,0,156
75,0.5714285714285714,0,91
75,0.38461538461538464,1,92
75,0.65,0,112
76,0.4,0,159
77,0.8999999999999999,0,147
77,1.0,0,125
77,1.0,0,126
77,0.875,0,110
78,0.6,0,151
78,0.875,0,108
78,0.6666666666666666,0,176
78,1.0,0,105
79,0.8571428571428571,0,91
79,0.46153846153846156,1,92
79,0.4,0,99
79,0.6,0,154
80,1.0,0,104
80,0.76,0,116
81,0.6923076923076923,0,174
81,0.7333333333333333,0,159
81,0.5333333333333333,0,152
82,0.4666666666666666,0,167
82,0.6666666666666666,0,82
82,0.6666666666666666,0,105
82,0.4714285714285714,0,171
83,0.48,0,186
83,0.95,0,115
83,0.85,0,136
84,0.5333333333333333,0,138
84,0.6,0,88
84,0.75,0,102
85,0.875,0,164
85,1.0,0,96
86,0.6666666666666666,0,106
86,0.6666666666666666,0,184
86,0.8666666666666667,0,152
86,0.85,0,112
87,0.6666666666666666,0,87
87,0.6666666666666666,0,105
87,0.6,0,81
88,0.7,0,109
88,1.0,0,108
88,1.0,0,173
88,0.6285714285714286,0,172
89,1.0,0,138
89,0.76,0,175
89,1.0,0,96
89,1.0,0,97
90,1.0,0,181
90,0.5333333333333333,0,178
90,1.0,0,156
90,0.6666666666666666,0,139
91,0.8571428571428571,0,187
91,0.5714285714285714,0,163
91,0.5714285714285714,0,173
92,0.95,0,130
92,0.4666666666666667,0,143
93,1.0,0,133
93,0.7142857142857143,0,144
93,0.6666666666666666,0,157
93,0.7333333333333333,0,158
93,0.8,0,95
94,1.0,0,160
94,1.0,0,161
94,1.0,0,162
94,0.6,0,131
94,0.9714285714285714,0,172
94,1.0,0,153
95,1.0,0,133
95,0.95,0,102
95,0.55,0,81
96,1.0,0,106
96,0.6,0,179
96,0.8666666666666667,0,99
96,0.8,0,154
97,0.4,0,157
97,0.8,0,128
97,0.7666666666666667,0,158
97,1.0,0,143
98,0.75,0,135
98,0.625,0,108
98,0.44,0,175
98,0.42857142857142855,0,91
98,0.38461538461538464,1,92
99,0.7142857142857143,0,91
99,0.3076923076923077,1,92
99,0.5,0,136
100,0.4666666666666667,0,145
100,0.85,0,137
100,0.6666666666666666,0,84
101,1.0,0,94
101,0.8461538461538461,0,185
102,0.6,0,177
102,0.4666666666666667,0,179
102,0.9,0,102
102,0.4,0,154
103,0.55,0,83
103,0.55,0,98
103,0.8,0,136
104,0.65,0,81
105,0.9333333333333333,0,145
105,1.0,0,117
105,0.6666666666666666,0,156
105,0.5,0,136
106,1.0,0,179
106,1.0,0,105
106,0.6666666666666666,0,140
107,0.55,0,111
107,0.7,0,115
107,0.6666666666666666,0,93
108,1.0,0,84
108,0.8666666666666667,0,152
108,0.3142857142857143,0,171
109,0.7,0,90
109,0.8,0,95
109,1.0,0,96
110,1.0,0,126
110,0.72,0,186
110,1.0,0,140
111,0.5384615384615384,0,170
111,1.0,0,126
111,0.9142857142857143,0,172
111,0.6153846153846154,0,174
112,0.6666666666666666,0,157
112,0.5666666666666667,0,158
112,0.4,0,171
112,0.4666666666666667,0,99
113,1.0,0,226
113,0.0,0,227
113,0.0,0,228
113,0.8666666666666667,0,259
113,0.7,0,260
113,0.5,0,277
114,0.5,0,226
114,0.5,0,227
114,1.0,0,228
114,0.5,0,240
114,3.8,0,271
114,3.0,0,270
115,1.0,0,119
115,0.875,0,107
115,1.0,0,150
116,1.0,0,133
116,0.4,0,169
116,0.5,0,168
116,0.9,0,112
117,0.8571428571428571,0,187
117,1.0,0,173
118,0.7777215189873418,0,3
118,0.5,1,4
119,0.6920253164556962,0,8
119,0.0,1,9
120,0.04025,0,23
120,0.25,1,24
121,0.5,0,81
121,0.6,0,149
121,0.6,0,152
121,1.0,0,123
122,0.0072,0,0
122,0.0,1,1
123,0.7956962025316455,0,8
123,0.25,1,9
124,0.23569620253164558,0,3
124,0.0,1,4
125,0.049367088607594936,0,8
125,0.25,1,9
126,0.9337974683544303,0,8
126,0.25,1,9
127,0.6208860759493671,0,8
127,0.5,1,9
128,0.5534177215189874,0,3
128,0.25,1,4
129,0.3082278481012658,0,3
129,0.25,1,4
130,0.6020253164556962,0,3
130,0.0,1,4
131,0.911875,0,26
131,0.25,1,27
132,0.2229113924050633,0,8
132,0.0,1,9
133,0.5936708860759494,0,3
133,0.25,1,4
134,0.770506329113924,0,8
134,0.5,1,9
135,0.87625,0,26
135,0.25,1,27
136,0.4666666666666667,0,131
136,0.6666666666666666,0,93
137,0.877625,0,23
137,0.5,1,24
138,0.224875,0,23
138,0.25,1,24
139,0.5753164556962025,0,8
139,0.0,1,9
140,0.5,0,226
140,0.5,0,227
140,0.0,0,228
140,0.0,0,268
141,0.6789333333333334,0,0
141,0.25,1,1
142,0.8912658227848101,0,8
142,0.25,1,9
143,0.3637974683544304,0,3
143,0.0,1,4
144,0.5962025316455696,0,3
144,0.25,1,4
145,0.464125,0,26
145,0.0,1,27
146,0.029873417721518986,0,3
146,0.0,1,4
147,0.1581012658227848,0,8
147,0.0,1,9
148,0.094,0,0
148,0.5,1,1
149,0.8257333333333333,0,0
149,0.25,1,1
150,0.5,0,226
150,0.5,0,227
150,1.0,0,228
150,0.8,0,242
151,0.8974358974358975,0,6
152,0.0,0,226
152,1.0,0,227
152,0.0,0,228
152,0.35,0,257
152,0.625,1,258
153,0.0,0,226
153,1.0,0,227
153,0.5,0,228
153,0.8,0,253
153,0.33999999999999986,0,262
154,0.5,0,226
