# Source: https://poedb.tw/us/Jewels#JewelsItem, https://poedb.tw/us/Abyss_Jewels#AbyssJewelsItem
baseType,category,subCategory
"Crimson Jewel","any jewel","base jewel"
"Cobalt Jewel","any jewel","base jewel"
"Viridian Jewel","any jewel","base jewel"
"Prismatic Jewel","any jewel","base jewel"
"Large Cluster Jewel","any jewel","cluster jewel"
"Medium Cluster Jewel","any jewel","cluster jewel"
"Small Cluster Jewel","any jewel","cluster jewel"
"Murderous Eye Jewel","any jewel","abyss jewel"
"Searching Eye Jewel","any jewel","abyss jewel"
"Hypnotic Eye Jewel","any jewel","abyss jewel"
"Ghastly Eye Jewel","any jewel","abyss jewel"
