start_time,end_time,time_diff
6693.167,6733.999,40.832
6734.001,6769.803,35.802
6769.806,6807.599,37.793
6807.603,6845.247,37.643
6845.250,6884.401,39.151
6884.405,6921.161,36.756
6921.167,6958.846,37.679
6958.853,6997.342,38.489
6997.351,7034.971,37.621
7034.980,7073.377,38.397
7119.465,7130.150,10.686
7130.152,7169.357,39.204
7169.361,7206.969,37.608
7206.972,7247.299,40.327
7247.304,7289.283,41.979
7289.288,7330.747,41.459
7330.752,7371.241,40.489
7371.249,7413.512,42.263
7413.519,7454.121,40.601
7454.166,7496.566,42.400
7548.945,7559.562,10.617
7559.563,7600.572,41.008
7600.576,7642.957,42.381
7642.961,7684.796,41.835
7684.802,7728.442,43.640
7728.448,7771.216,42.767
7771.222,7813.443,42.221
7813.449,7856.912,43.463
7856.920,7901.150,44.229
7901.196,7944.708,43.512
7985.576,7996.892,11.316
7996.937,8047.059,50.122
8047.062,8092.587,45.525
8092.591,8138.094,45.503
8138.099,8181.424,43.325
8181.470,8226.693,45.223
8226.700,8273.218,46.518
8273.224,8318.361,45.136
8318.369,8362.207,43.838
8362.215,8406.330,44.115
8447.959,8458.317,10.357
8458.319,8502.336,44.017
8502.338,8548.150,45.812
8548.155,8594.127,45.972
8594.131,8636.969,42.838
8636.975,8682.308,45.333
8682.317,8724.754,42.437
8724.790,8767.831,43.041
8767.839,8812.150,44.311
8812.158,8858.577,46.419
8904.054,8915.688,11.634
8915.690,8963.746,48.056
8963.750,9007.930,44.180
9007.934,9050.378,42.444
9050.385,9092.558,42.172
9092.565,9136.388,43.823
9136.395,9175.986,39.591
9176.000,9219.028,43.028
9219.036,9258.717,39.680
9258.727,9305.614,46.886
9368.716,9380.957,12.240
9380.958,9426.376,45.418
9426.379,9466.693,40.314
9466.698,9510.186,43.488
9510.191,9552.213,42.022
9552.221,9594.993,42.772
9594.999,9637.527,42.527
9637.537,9683.282,45.745
9683.292,9726.155,42.863
9726.164,9768.395,42.230
9826.978,9837.470,10.492
9837.472,9879.554,42.081
9879.557,9921.548,41.992
9921.554,9965.210,43.656
9965.216,10006.445,41.229
10006.452,10047.863,41.411
10047.871,10089.251,41.380
10089.260,10132.258,42.999
10132.266,10173.671,41.405
10173.681,10217.547,43.865
10266.228,10277.739,11.511
10277.742,10320.646,42.905
10320.650,10362.609,41.959
10362.614,10405.698,43.084
10405.702,10445.330,39.628
10445.340,10484.754,39.413
10484.761,10525.827,41.066
10525.833,10566.007,40.174
10566.015,10608.399,42.384
10608.407,10648.221,39.814
10692.653,10703.597,10.944
10703.601,10745.249,41.649
10745.253,10786.140,40.887
10786.144,10826.521,40.377
10826.526,10868.910,42.384
10868.915,10909.211,40.296
10909.218,10953.188,43.969
10953.194,10993.482,40.288
10993.490,11036.351,42.862
11036.397,11076.873,40.476
11125.070,11136.455,11.385
11136.457,11180.150,43.693
11180.153,11220.569,40.416
11220.573,11263.691,43.117
11263.695,11301.274,37.579
11301.279,11351.135,49.856
11351.143,11407.213,56.070
11407.221,11463.614,56.393
11463.626,11520.517,56.892
11520.525,11574.818,54.293
11624.671,11636.025,11.355
11636.026,11689.621,53.595
11689.624,11745.938,56.314
11745.941,11801.150,55.209
11801.194,11860.524,59.330
11860.530,11915.975,55.445
11915.981,11972.201,56.219
11972.209,12028.010,55.801
12028.017,12084.237,56.220
12084.245,12140.598,56.353
12191.589,12202.503,10.914
12202.506,12258.116,55.610
12258.119,12316.861,58.742
12316.865,12371.571,54.705
12371.576,12428.030,56.455
12428.036,12482.624,54.587
12482.631,12541.190,58.559
12541.206,12597.437,56.231
12597.448,12656.610,59.161
12656.627,12711.884,55.257
12770.779,12782.331,11.552
12782.333,12835.964,53.631
12835.967,12893.939,57.971
12893.942,12945.907,51.965
12945.913,12999.655,53.743
12999.663,13059.020,59.357
13059.026,13118.380,59.354
13118.386,13175.543,57.157
13175.552,13232.549,56.997
13232.558,13289.558,57.001
13339.625,13350.694,11.069
13350.696,13406.155,55.459
13406.158,13461.737,55.579
13461.742,13517.062,55.320
13517.066,13574.280,57.214
13574.301,13630.618,56.317
13630.626,13684.579,53.954
13684.589,13741.667,57.078
13741.674,13802.047,60.373
13802.056,13859.902,57.846
13908.624,13922.509,13.886
13922.511,13978.769,56.258
13978.772,14037.511,58.738
