start_time,end_time,time_diff
741.592,784.009,42.417
784.012,824.359,40.348
824.398,864.735,40.337
864.783,904.567,39.784
904.611,946.458,41.847
946.464,986.011,39.547
986.017,1026.412,40.395
1026.419,1067.393,40.974
1067.400,1108.333,40.934
1108.341,1148.376,40.034
1195.278,1206.658,11.380
1206.661,1245.012,38.351
1245.015,1287.870,42.854
1287.874,1328.821,40.947
1328.825,1370.860,42.035
1370.867,1411.368,40.501
1411.374,1452.140,40.766
1452.149,1491.414,39.265
1491.421,1530.002,38.581
1530.011,1571.046,41.035
1622.926,1635.097,12.171
1635.099,1671.582,36.483
1671.587,1714.525,42.938
1714.528,1754.473,39.945
1754.477,1795.597,41.120
1795.602,1835.635,40.033
1835.641,1875.378,39.737
1875.391,1915.954,40.563
1915.961,1954.014,38.053
1954.061,1992.280,38.219
2032.123,2045.358,13.234
2045.359,2082.867,37.508
2082.872,2126.537,43.664
2126.541,2166.568,40.027
2166.573,2206.215,39.642
2206.220,2246.274,40.054
2246.280,2285.992,39.712
2285.999,2327.671,41.672
2327.678,2368.104,40.426
2368.112,2406.069,37.957
2449.894,2462.059,12.165
2462.062,2498.335,36.273
2498.338,2542.721,44.383
2542.766,2583.034,40.268
2583.041,2627.434,44.393
2627.483,2665.967,38.484
2665.972,2705.853,39.880
2705.859,2745.311,39.452
2745.323,2786.358,41.035
2786.366,2826.469,40.103
2877.157,2891.003,13.846
2891.005,2929.073,38.068
2929.077,2973.171,44.094
2973.188,3013.233,40.045
3013.239,3052.140,38.901
3052.147,3093.358,41.211
3093.366,3132.504,39.138
3132.512,3172.941,40.430
3172.951,3215.439,42.488
3215.450,3256.302,40.853
3320.045,3332.212,12.167
3332.214,3369.254,37.040
3369.256,3411.346,42.089
3411.349,3451.602,40.253
3451.639,3493.416,41.777
3493.424,3534.798,41.375
3534.807,3575.651,40.844
3575.711,3615.687,39.976
3615.699,3655.052,39.353
3655.078,3691.884,36.806
3751.855,3765.123,13.268
3765.125,3805.811,40.686
3805.814,3847.757,41.943
3847.761,3889.923,42.162
3889.927,3932.296,42.368
3932.301,3977.126,44.825
3977.133,4016.690,39.557
4016.731,4060.216,43.485
4060.225,4106.296,46.071
4106.306,4148.036,41.730
4195.544,4207.734,12.190
4207.770,4250.570,42.800
4250.573,4295.558,44.985
4295.561,4338.392,42.831
4338.399,4380.533,42.134
4380.538,4423.524,42.986
4423.529,4467.634,44.105
4467.643,4508.420,40.777
4508.467,4551.655,43.188
4551.664,4593.729,42.065
4639.151,4651.968,12.817
4651.970,4694.279,42.310
4694.283,4736.122,41.839
4736.126,4779.634,43.509
4779.639,4823.790,44.151
4823.795,4865.400,41.605
4865.443,4911.228,45.785
4911.234,4952.930,41.695
4952.938,4994.828,41.891
4994.838,5037.738,42.900
5084.976,5097.483,12.507
5097.487,5137.752,40.264
5137.754,5181.791,44.037
5181.795,5226.588,44.793
5226.633,5270.569,43.936
5270.575,5315.574,45.000
5315.580,5356.832,41.252
5356.838,5399.698,42.860
5399.710,5444.985,45.274
5444.992,5488.394,43.402
5539.969,5551.628,11.659
5551.629,5593.056,41.426
5593.058,5639.789,46.731
5639.794,5682.043,42.249
5682.048,5726.742,44.694
5726.746,5768.784,42.037
5768.789,5811.386,42.597
5811.393,5853.223,41.831
5853.232,5899.611,46.380
5899.619,5945.000,45.381
6000.064,6012.983,12.919
6012.985,6052.057,39.072
6052.059,6098.900,46.841
6098.904,6141.139,42.234
6141.143,6184.624,43.481
6184.629,6229.575,44.945
6229.582,6273.960,44.377
6273.967,6316.441,42.473
6316.448,6360.382,43.934
6360.391,6404.498,44.106
6457.424,6470.633,13.209
6470.634,6510.080,39.445
6510.085,6555.907,45.822
6555.911,6600.686,44.775
6600.693,6644.774,44.080
6644.779,6690.812,46.034
6690.817,6731.902,41.085
6731.910,6774.517,42.607
6774.524,6818.479,43.955
6818.487,6861.258,42.770
6911.434,6925.602,14.168
6925.604,6965.862,40.258
6965.868,7011.379,45.511
7011.385,7053.435,42.050
7053.441,7096.921,43.480
7096.926,7143.469,46.543
7143.475,7188.538,45.063
7188.544,7231.489,42.945
7231.497,7272.561,41.064
7272.570,7316.524,43.953
7361.556,7373.822,12.266
7373.824,7415.450,41.626
7415.454,7462.393,46.939
7462.436,7506.124,43.687
7506.127,7549.453,43.326
7549.460,7594.827,45.368
7594.833,7637.841,43.008
7637.849,7683.987,46.138
7683.995,7726.133,42.138
7726.143,7767.693,41.550
7817.165,7830.804,13.639
7830.807,7869.857,39.050
7869.860,7914.855,44.996
7914.862,7957.788,42.926
7957.833,8001.979,44.146
8001.984,8046.207,44.223
8046.212,8090.159,43.947
8090.166,8133.381,43.215
8133.436,8177.993,44.556
8178.001,8222.277,44.277
8274.229,8286.576,12.347
8286.578,8326.063,39.485
8326.065,8373.971,47.906
8373.975,8417.047,43.071
8417.051,8460.161,43.110
8460.170,8504.889,44.718
8504.897,8547.710,42.813
8547.720,8592.800,45.080
8592.851,8638.133,45.282
8638.141,8682.258,44.117
8736.637,8750.916,14.279
8750.918,8789.242,38.323
8789.244,8835.440,46.196
8835.446,8881.090,45.643
8881.095,8924.664,43.569
8924.670,8974.464,49.794
8974.471,9024.723,50.252
9024.731,9073.942,49.211
9073.952,9129.484,55.531
9129.496,9179.623,50.127
9240.163,9250.150,9.987
9250.153,9305.489,55.336
