start_time,end_time,time_diff
21241.113,21274.409,33.296
21274.411,21306.536,32.125
21306.540,21336.123,29.583
21336.128,21366.318,30.190
21366.324,21396.244,29.920
21396.249,21427.899,31.649
21427.906,21467.317,39.411
21467.349,21506.085,38.736
21506.116,21544.032,37.915
21544.041,21579.560,35.519
21635.790,21642.974,7.184
21642.975,21677.128,34.153
21677.131,21712.091,34.961
21712.095,21745.822,33.727
21745.828,21777.608,31.779
21777.616,21814.806,37.190
21814.843,21850.797,35.955
21850.805,21887.532,36.726
21887.541,21922.937,35.396
21922.947,21957.438,34.491
22021.747,22029.404,7.657
22029.407,22067.519,38.112
22067.523,22105.748,38.225
22105.753,22143.832,38.079
22143.841,22179.580,35.739
22179.591,22212.985,33.394
22212.997,22250.591,37.594
22250.601,22285.289,34.688
22285.303,22323.941,38.638
22323.958,22358.081,34.123
22437.967,22448.737,10.770
22448.739,22484.022,35.283
22484.047,22519.782,35.735
22519.788,22555.825,36.037
22555.837,22594.227,38.391
22594.235,22634.619,40.384
22634.630,22669.572,34.942
22669.583,22709.722,40.139
22709.735,22747.952,38.217
22747.965,22786.448,38.484
22872.970,22882.904,9.935
22882.906,22924.695,41.789
22924.699,22965.424,40.725
22965.429,23004.443,39.014
23004.453,23039.893,35.440
23039.905,23078.278,38.373
23078.289,23120.335,42.046
23120.348,23159.367,39.019
23159.383,23198.339,38.956
23198.357,23239.163,40.805
23348.268,23360.211,11.944
23360.213,23405.483,45.270
23405.487,23442.787,37.300
23442.791,23483.147,40.356
23483.154,23523.586,40.432
23523.594,23559.683,36.089
23559.691,23598.837,39.146
23598.847,23638.440,39.593
23638.453,23677.822,39.369
23677.835,23719.833,41.998
23804.965,23817.260,12.296
23817.263,23860.809,43.546
23860.814,23899.973,39.159
23899.979,23942.853,42.874
23942.861,23984.145,41.284
23984.158,24022.542,38.385
24022.557,24061.573,39.016
24061.589,24105.334,43.744
24105.352,24143.330,37.978
24143.352,24184.533,41.181
24315.823,24328.207,12.384
24328.209,24371.416,43.207
24371.420,24410.807,39.388
24410.814,24453.210,42.396
24453.219,24493.810,40.591
24493.819,24535.886,42.066
24535.896,24580.034,44.137
24580.047,24624.254,44.208
24624.270,24662.233,37.963
24662.249,24711.013,48.764
24817.844,24829.895,12.052
24829.938,24873.747,43.809
24873.750,24919.719,45.969
24919.725,24958.250,38.525
24958.259,25003.417,45.158
25003.427,25044.401,40.974
25044.413,25086.817,42.403
25086.831,25129.580,42.749
25129.653,25171.951,42.298
25171.975,25220.528,48.554
25363.196,25380.914,17.718
25380.916,25427.526,46.610
25427.530,25473.115,45.585
25473.127,25518.075,44.949
25518.086,25563.237,45.150
25563.251,25609.507,46.256
25609.522,25656.243,46.721
25656.262,25700.742,44.480
25700.765,25746.421,45.656
25746.444,25791.657,45.213
25947.212,25970.120,22.908
25970.123,26017.026,46.903
26017.031,26063.416,46.385
26063.427,26112.012,48.585
26112.025,26159.814,47.789
26159.873,26205.878,46.005
26205.895,26252.122,46.227
26252.143,26300.379,48.236
26300.403,26347.044,46.641
26347.068,26393.059,45.990
26529.708,26543.528,13.820
26543.582,26589.937,46.355
26589.942,26634.839,44.897
26634.847,26677.518,42.671
26677.535,26724.013,46.479
26724.026,26767.856,43.830
26767.873,26817.013,49.139
26817.031,26863.850,46.819
26863.873,26902.499,38.626
26902.524,26941.677,39.153
27081.204,27092.570,11.366
27092.573,27126.543,33.970
27126.547,27160.046,33.499
27160.052,27192.044,31.993
27192.051,27224.836,32.785
27224.844,27257.324,32.481
27257.333,27291.821,34.488
27291.834,27326.739,34.905
27326.752,27361.632,34.880
27361.647,27392.324,30.677
27471.803,28242.783,770.980
28242.793,29399.192,1156.399
29399.194,30617.042,1217.848
30617.045,31879.523,1262.478
