start_time,end_time,time_diff
11806.387,11840.604,34.217
11840.627,11872.502,31.875
11872.506,11903.904,31.399
11903.910,11935.429,31.519
11935.434,11965.816,30.382
11965.823,11995.316,29.493
11995.325,12027.232,31.908
12027.243,12059.997,32.754
12060.006,12090.751,30.745
12090.761,12123.257,32.496
12183.478,12189.367,5.889
12189.369,12224.248,34.879
12224.255,12257.811,33.556
12257.814,12291.130,33.315
12291.135,12324.339,33.204
12324.345,12356.874,32.529
12356.881,12394.432,37.551
12394.442,12428.358,33.916
12428.368,12463.535,35.167
12463.547,12497.787,34.240
12568.936,12577.291,8.355
12577.293,12612.848,35.555
12612.853,12647.549,34.697
12647.554,12683.125,35.571
12683.131,12718.292,35.161
12718.298,12748.844,30.546
12748.853,12784.586,35.733
12784.596,12820.511,35.915
12820.525,12857.962,37.437
12857.976,12891.020,33.044
12973.140,12984.848,11.708
12984.849,13018.842,33.992
13018.847,13054.711,35.864
13054.717,13089.581,34.864
13089.586,13124.473,34.887
13124.481,13163.074,38.593
13163.082,13199.887,36.805
13199.896,13237.164,37.268
13237.175,13274.914,37.739
13274.926,13310.873,35.947
13390.995,13399.675,8.681
13399.677,13438.835,39.158
13438.838,13477.661,38.822
13477.666,13516.405,38.739
13516.414,13553.719,37.305
13553.730,13590.713,36.983
13590.723,13632.828,42.105
13632.876,13670.031,37.155
13670.046,13709.620,39.574
13709.639,13750.308,40.668
13855.622,13868.218,12.596
13868.219,13914.843,46.624
13914.848,13952.917,38.069
13952.923,13994.509,41.586
13994.516,14033.137,38.621
14033.145,14077.662,44.516
14077.670,14111.183,33.513
14111.194,14156.173,44.979
14156.185,14196.028,39.843
14196.041,14233.993,37.952
14316.568,14328.203,11.636
14328.206,14371.835,43.630
14371.841,14411.940,40.099
14411.947,14451.344,39.398
14451.352,14495.406,44.054
14495.452,14533.630,38.178
14533.645,14573.202,39.558
14573.218,14613.765,40.547
14613.784,14652.641,38.857
14652.662,14694.897,42.236
14825.725,14839.182,13.457
14839.184,14882.885,43.701
14882.888,14924.524,41.635
14924.529,14967.642,43.114
14967.650,15011.321,43.672
15011.330,15052.470,41.139
15052.480,15100.692,48.212
15100.705,15145.324,44.619
15145.338,15188.686,43.348
15188.706,15230.938,42.232
15337.736,15351.844,14.108
15351.845,15396.771,44.926
15396.776,15441.078,44.302
15441.087,15485.322,44.236
15485.329,15530.614,45.285
15530.623,15574.619,43.996
15574.630,15618.432,43.801
15618.444,15663.935,45.491
15663.950,15708.592,44.642
15708.639,15753.047,44.408
15881.726,15896.987,15.261
15896.989,15942.730,45.741
15942.733,15987.254,44.520
15987.259,16031.954,44.695
16031.961,16076.462,44.501
16076.472,16119.507,43.035
16119.520,16167.545,48.024
16167.607,16211.734,44.127
16211.751,16255.515,43.765
16255.534,16299.065,43.531
16438.152,16454.434,16.282
16454.439,16499.163,44.724
16499.172,16544.593,45.421
16544.601,16590.580,45.979
16590.590,16633.680,43.091
16633.692,16681.865,48.173
16681.879,16729.499,47.620
16729.515,16774.974,45.459
16774.991,16819.704,44.713
16819.725,16864.957,45.231
17012.516,17030.513,17.997
17030.514,17076.388,45.874
17076.392,17122.608,46.216
17122.618,17169.587,46.969
17169.598,17215.503,45.905
17215.516,17261.182,45.666
17261.196,17309.532,48.336
17309.548,17355.564,46.016
17355.584,17405.709,50.124
17405.732,17454.342,48.611
17616.832,17630.750,13.918
17630.753,17672.822,42.069
17672.826,17713.504,40.678
17713.509,17746.336,32.827
17746.345,17782.901,36.556
17782.909,17814.976,32.067
17815.017,17851.988,36.971
17851.999,17886.745,34.746
17886.759,17923.123,36.364
17923.139,17956.105,32.966
18052.919,18062.449,9.530
18062.480,18094.454,31.974
18094.457,18712.538,618.081
18712.542,19681.017,968.475
