start_time,end_time,time_diff
2538.321,2570.324,32.003
2570.327,2603.818,33.492
2603.820,2634.842,31.021
2634.845,2667.291,32.446
2667.297,2699.371,32.075
2699.377,2728.372,28.995
2728.379,2759.326,30.948
2759.334,2790.601,31.267
2790.609,2822.670,32.061
2822.680,2853.703,31.022
2910.112,2917.356,7.244
2917.358,2952.648,35.290
2952.651,2983.954,31.303
2983.960,3016.452,32.492
3016.458,3045.896,29.439
3045.905,3082.698,36.794
3082.707,3114.718,32.012
3114.728,3147.093,32.365
3147.104,3179.713,32.609
3179.726,3215.527,35.801
3292.025,3301.219,9.195
3301.222,3341.248,40.026
3341.251,3377.339,36.088
3377.345,3413.649,36.303
3413.656,3448.549,34.893
3448.558,3481.500,32.942
3481.511,3811.004,329.493
3811.017,3854.920,43.903
3854.934,3893.224,38.290
3893.238,3928.105,34.867
4015.993,4024.878,8.886
4024.881,4064.862,39.981
4064.866,4098.988,34.122
4098.994,4141.975,42.981
4141.981,4180.375,38.394
4180.383,4217.730,37.347
4217.739,4253.962,36.223
4253.973,4294.987,41.014
4295.000,4336.680,41.680
4336.695,4374.969,38.274
4462.110,4475.373,13.263
4475.375,4517.389,42.013
4517.394,4556.015,38.622
4556.023,4596.030,40.007
4596.041,4633.979,37.938
4633.990,4678.039,44.049
4678.051,4718.965,40.914
4718.981,4759.272,40.291
4759.289,4803.830,44.541
4803.850,4847.318,43.469
4959.462,4973.922,14.460
4973.924,5014.108,40.185
5014.112,5052.995,38.883
5053.000,5095.252,42.252
5095.258,5134.359,39.101
5134.366,5173.744,39.379
5173.754,5215.710,41.957
5215.721,5257.410,41.689
5257.421,5298.377,40.956
5298.412,5341.242,42.830
5418.150,5430.642,12.492
5430.646,5471.022,40.376
5471.026,5510.880,39.854
5510.886,5556.706,45.820
5556.721,5597.996,41.275
5598.008,5640.027,42.020
5640.041,5678.739,38.699
5678.758,5718.698,39.940
5718.720,5761.423,42.704
5761.442,5801.953,40.511
5920.657,5933.140,12.482
5933.141,5973.943,40.802
5973.948,6018.505,44.557
6018.511,6059.034,40.523
6059.041,6101.686,42.645
6101.693,6144.024,42.331
6144.039,6185.309,41.270
6185.320,6230.336,45.016
6230.349,6266.816,36.467
6266.833,6313.686,46.853
6413.052,6426.156,13.103
6426.159,6470.452,44.293
6470.456,6513.809,43.353
6513.815,6553.469,39.654
6553.476,6595.890,42.414
6595.901,6639.160,43.259
6639.174,6685.428,46.254
6685.443,6728.664,43.222
6728.683,6772.821,44.138
6772.841,6816.105,43.264
6937.308,6948.921,11.613
6948.927,6996.512,47.585
6996.517,7039.492,42.975
7039.499,7085.721,46.222
7085.729,7130.930,45.201
7130.941,7174.756,43.815
7174.770,7217.418,42.649
7217.434,7260.314,42.880
7260.332,7305.279,44.947
7305.298,7346.927,41.630
7467.512,7484.048,16.536
7484.050,7527.467,43.417
7527.471,7571.183,43.712
7571.190,7617.737,46.548
7617.746,7660.351,42.605
7660.363,7706.314,45.950
7706.327,7751.234,44.907
7751.250,7794.874,43.623
7794.890,7839.477,44.587
7839.495,7887.440,47.945
8021.920,8037.854,15.934
8037.858,8080.414,42.556
8080.419,8116.887,36.467
8116.895,8149.705,32.810
8149.717,8181.453,31.737
8181.463,8214.096,32.633
8214.130,8251.608,37.478
8251.620,8285.364,33.743
8285.379,8320.184,34.805
8320.198,8354.458,34.260
8439.631,8446.513,6.883
8446.516,8773.758,327.242
8773.762,9513.625,739.863
9513.629,10609.792,1096.163
10609.796,11765.214,1155.417
11765.217,12686.232,921.015
12686.235,13645.133,958.898
13645.139,14821.228,1176.088
14821.232,15740.107,918.875
15740.110,16661.206,921.095
