start_time,end_time,time_diff
19389.064,19422.224,33.160
19422.252,19451.791,29.539
19451.793,19483.377,31.584
19483.412,19516.262,32.850
19516.267,19548.724,32.457
19548.732,19579.922,31.190
19579.930,19611.110,31.180
19611.117,19645.137,34.020
19645.148,19674.963,29.815
19674.995,19707.955,32.960
19762.567,19769.104,6.537
19769.105,19805.158,36.052
19805.160,19835.893,30.733
19835.901,19867.393,31.492
19867.398,19897.946,30.548
19897.953,19932.954,35.001
19932.961,19970.530,37.569
19970.538,20003.993,33.456
20004.004,20037.626,33.622
20037.636,20071.046,33.410
20135.441,20144.190,8.749
20144.192,20182.530,38.338
20182.533,20219.670,37.138
20219.683,20253.093,33.410
20253.099,20287.707,34.608
20287.716,20321.861,34.145
20321.869,20355.846,33.977
20355.887,20395.382,39.495
20395.393,20427.775,32.382
20427.788,20461.715,33.927
20536.376,20544.987,8.611
20544.988,20583.023,38.035
20583.027,20617.993,34.966
20617.996,20653.121,35.125
20653.126,20692.143,39.017
20692.149,20728.166,36.017
20728.175,20765.094,36.919
20765.103,20804.212,39.108
20804.222,20842.560,38.338
20842.574,20880.313,37.739
20952.645,20963.333,10.688
20963.336,21004.984,41.648
21004.990,21040.868,35.878
21040.875,21080.365,39.490
21080.372,21118.852,38.480
21118.861,21159.816,40.955
21159.832,21199.498,39.667
21199.515,21236.388,36.873
21236.404,21275.482,39.079
21275.498,21315.711,40.213
21413.034,21425.402,12.368
21425.404,21466.477,41.073
21466.481,21505.656,39.176
21505.662,21548.327,42.666
21548.336,21585.443,37.107
21585.450,21624.533,39.083
21624.543,21664.344,39.801
21664.362,21702.716,38.355
21702.728,21742.922,40.194
21742.937,21785.654,42.717
21865.041,21877.665,12.625
21877.669,21918.912,41.243
21918.917,21958.306,39.389
21958.314,21999.060,40.745
21999.070,22038.355,39.284
22038.366,22079.587,41.221
22079.601,22118.671,39.070
22118.687,22159.488,40.801
22159.504,22203.202,43.698
22203.223,22244.915,41.693
22359.302,22369.066,9.764
22369.068,22416.004,46.936
22416.008,22456.831,40.824
22456.836,22499.419,42.583
22499.426,22540.204,40.777
22540.213,22578.652,38.439
22578.663,22619.862,41.198
22619.874,22663.782,43.908
22663.798,22706.753,42.956
22706.768,22750.339,43.571
22843.864,22855.707,11.843
22855.708,22902.985,47.277
22902.989,22944.901,41.912
22944.914,22989.144,44.229
22989.152,23031.757,42.605
23031.769,23075.065,43.296
23075.081,23115.804,40.723
23115.819,23161.672,45.854
23161.689,23206.601,44.912
23206.618,23251.938,45.320
23372.584,23386.950,14.367
23386.952,23432.116,45.164
23432.120,23475.123,43.003
23475.129,23520.188,45.058
23520.195,23564.160,43.964
23564.170,23610.395,46.225
23610.411,23654.264,43.853
23654.280,23696.301,42.021
23696.317,23740.768,44.451
23740.788,23785.803,45.015
23904.897,23916.827,11.929
23916.829,23964.574,47.745
23964.578,24008.083,43.506
24008.089,24050.278,42.189
24050.293,24096.126,45.833
24096.137,24140.643,44.506
24140.655,24184.507,43.852
24184.524,24230.797,46.273
24230.813,24273.268,42.455
24273.287,24308.555,35.268
24436.038,24445.692,9.654
24445.718,24479.695,33.977
24479.724,24513.599,33.876
24513.632,24549.258,35.626
24549.263,24583.685,34.421
24583.692,24616.154,32.462
24616.162,24649.099,32.937
24649.108,24685.273,36.165
24685.284,24715.939,30.656
24715.952,24977.780,261.827
25042.378,25407.403,365.025
25407.406,25781.799,374.394
25781.801,26156.735,374.934
27333.162,27761.533,428.371
27761.535,28194.788,433.253
28194.790,28512.129,317.339
28512.131,28824.386,312.256
28824.388,29082.213,257.825
29082.216,29394.499,312.283
29394.502,29829.486,434.985
29829.488,30204.489,375.000
30204.491,30518.356,313.865
