start_time,end_time,time_diff
613.551,651.552,38.001
651.555,684.178,32.623
684.181,717.239,33.059
717.245,750.596,33.351
750.601,784.298,33.698
784.304,817.746,33.442
817.754,850.367,32.613
850.375,884.266,33.891
884.306,917.614,33.308
917.624,952.089,34.464
1008.712,1016.160,7.448
1016.163,1049.594,33.431
1049.596,1083.900,34.303
1083.904,1117.696,33.792
1117.705,1148.996,31.292
1149.004,1182.539,33.534
1182.547,1215.949,33.402
1215.958,1255.207,39.249
1255.217,1289.711,34.495
1289.722,1323.701,33.980
1393.435,1401.025,7.590
1401.027,1436.379,35.352
1436.383,1478.116,41.733
1478.121,1513.745,35.624
1513.751,1550.518,36.767
1550.525,1583.281,32.756
1583.289,1619.598,36.309
1619.613,1654.975,35.362
1654.987,1693.258,38.270
1693.271,1726.543,33.271
1803.132,1811.614,8.482
1811.617,1850.561,38.945
1850.567,1886.043,35.476
1886.047,1925.400,39.353
1925.439,1960.787,35.347
1960.794,1997.403,36.609
1997.411,2039.536,42.125
2039.547,2076.090,36.543
2076.101,2117.892,41.791
2117.903,2157.811,39.908
