start_time,end_time,time_diff
889.475,930.922,41.447
931.931,976.329,44.398
977.336,1022.809,45.473
1023.817,1068.457,44.640
1069.464,1115.619,46.155
1116.626,1161.876,45.250
1162.883,1207.100,44.217
1208.107,1253.350,45.243
1254.357,1298.034,43.677
1299.041,1411.743,112.702
1412.750,1459.549,46.799
1460.551,1502.756,42.205
1503.763,1551.128,47.365
1552.136,1597.318,45.183
1598.325,1643.197,44.872
1644.930,1689.896,44.965
1691.801,1736.106,44.305
1737.113,1780.357,43.244
1781.364,1826.290,44.925
1827.297,1873.781,46.484
1874.788,1921.141,46.353
1922.148,1970.821,48.673
1971.822,2014.450,42.628
2015.457,2062.482,47.025
2063.986,2108.832,44.847
2109.840,2219.979,110.139
2220.986,2263.696,42.710
2264.703,2310.040,45.338
2311.047,2357.267,46.219
2358.275,2403.885,45.610
2404.893,2448.396,43.503
2449.404,2494.162,44.758
2495.169,2543.649,48.480
2544.650,2589.138,44.488
2590.145,2640.666,50.521
2641.673,2687.352,45.679
2688.359,2732.422,44.063
2733.429,2776.005,42.575
2777.347,2820.565,43.219
2821.943,2865.734,43.790
2867.259,2914.142,46.883
2915.150,2959.399,44.249
2960.405,3010.606,50.201
3011.614,3056.500,44.886
3057.502,3100.709,43.207
3101.717,3149.462,47.745
3150.774,3196.586,45.812
3197.593,3243.992,46.399
3245.854,3289.656,43.802
3290.663,3334.789,44.125
3335.796,3380.983,45.187
3381.990,3427.501,45.511
3428.512,3473.799,45.287
3474.806,3519.253,44.447
3520.717,3567.440,46.723
3568.442,3612.867,44.425
3613.874,3666.475,52.601
3667.484,3713.276,45.792
3714.282,3758.442,44.160
3759.449,3803.499,44.050
3804.506,3847.559,43.052
