start_time,end_time,time_diff
12572.887,12628.417,55.530
12634.970,12680.364,45.394
12687.305,12729.355,42.050
12737.923,12780.622,42.699
12787.334,12831.041,43.708
12838.137,12884.572,46.434
12892.114,12937.565,45.450
12947.002,12992.887,45.885
12999.918,13045.575,45.657
13053.353,13098.624,45.272
13106.108,13153.570,47.462
13176.546,13222.896,46.350
13231.907,13276.362,44.456
13283.858,13329.152,45.293
13336.241,13382.695,46.455
13390.605,13436.217,45.611
13443.509,13488.281,44.772
13497.710,13543.394,45.684
13551.274,13596.443,45.169
13604.304,13650.046,45.742
13657.990,13704.344,46.354
13726.795,13773.522,46.727
13780.644,13825.467,44.823
13832.797,13879.166,46.369
13886.676,13932.167,45.491
13941.887,13986.868,44.981
13995.162,14040.692,45.530
14048.107,14094.717,46.610
14102.454,14148.350,45.896
14156.270,14204.342,48.072
14212.570,14258.915,46.346
14280.976,14326.816,45.841
14334.083,14379.480,45.397
14386.959,14433.473,46.514
14441.392,14486.760,45.368
14494.076,14542.333,48.257
14550.365,14661.404,111.040
14671.891,14715.913,44.021
14724.035,14769.542,45.508
14777.425,14824.965,47.540
14833.211,14879.232,46.020
14902.192,14948.041,45.848
14955.364,14999.568,44.203
15009.145,15054.378,45.233
15062.433,15107.338,44.905
15114.894,15160.825,45.931
15168.397,15214.843,46.445
15222.631,15267.494,44.863
15278.251,15323.546,45.295
15331.416,15378.011,46.595
15386.081,15433.338,47.256
15454.035,15501.403,47.368
15511.489,15555.531,44.042
15562.907,15608.941,46.035
15619.281,15664.312,45.031
15671.484,15717.920,46.435
15727.976,15772.741,44.765
15780.400,15826.475,46.076
15834.260,15880.236,45.976
15887.468,15935.542,48.074
15943.554,16054.111,110.558
16062.512,16106.715,44.203
16116.280,16159.920,43.640
16167.192,16212.491,45.299
16220.033,16264.894,44.861
16271.950,16318.297,46.347
16326.404,16370.645,44.241
16377.691,16423.311,45.620
16433.168,16477.045,43.877
16484.483,16529.076,44.593
16536.403,16582.494,46.090
16605.003,16649.696,44.694
16658.679,16701.681,43.002
16709.057,16755.023,45.966
16762.231,16808.384,46.153
16815.717,16859.785,44.069
16867.204,16911.223,44.019
16920.825,16966.359,45.534
16974.094,17019.278,45.183
17026.700,17072.374,45.674
17079.854,17126.393,46.539
17146.752,17193.704,46.952
17201.325,17246.083,44.758
17255.676,17300.388,44.713
17307.843,17352.210,44.367
17361.839,17407.456,45.617
17415.191,17459.674,44.483
17467.040,17511.775,44.735
17519.395,17564.242,44.847
17571.637,17617.569,45.932
17628.252,17672.315,44.063
17693.216,17740.417,47.201
17747.336,17791.948,44.612
17798.900,17844.703,45.804
