start_time,end_time,time_diff
18673.274,18721.484,48.210
18728.188,18781.409,53.221
18789.216,18840.916,51.700
18848.756,18902.099,53.343
18909.944,18962.661,52.717
18971.388,19026.211,54.823
19032.994,19087.588,54.594
19095.986,19152.032,56.045
19158.940,19212.816,53.875
19221.263,19275.795,54.532
19282.792,19339.773,56.981
19352.872,19410.141,57.269
19416.738,19468.587,51.849
19476.930,19531.713,54.783
19540.237,19592.501,52.264
19601.366,19654.669,53.303
19663.155,19718.078,54.924
19726.680,19783.486,56.806
19790.680,19845.863,55.183
19853.130,19908.431,55.300
19917.013,19976.847,59.834
19987.380,20043.427,56.048
20052.065,20105.688,53.623
20114.636,20171.051,56.416
20177.781,20233.568,55.787
20240.614,20296.091,55.477
20303.008,20358.198,55.190
20367.113,20422.984,55.871
20430.230,20483.801,53.571
20492.123,20548.058,55.935
20555.265,20612.475,57.210
20624.849,20682.507,57.658
20689.256,20743.258,54.002
20752.093,20808.932,56.838
20818.445,20870.558,52.113
20879.465,20936.672,57.208
20946.029,20999.292,53.263
21007.958,21064.789,56.830
21073.878,21126.231,52.353
21135.259,21190.055,54.796
21197.070,21254.564,57.495
21267.100,21320.307,53.207
21329.083,21381.418,52.335
21390.255,21444.408,54.153
21453.094,21507.626,54.532
21516.647,21572.542,55.895
21581.931,21636.455,54.524
21645.274,21702.093,56.819
21711.636,21766.586,54.950
21775.429,21831.560,56.131
21840.754,21898.278,57.524
21910.218,21965.567,55.348
21974.250,22029.271,55.021
22037.902,22092.647,54.745
22099.504,22151.877,52.374
22160.812,22216.162,55.350
22222.995,22277.481,54.486
22286.413,22342.114,55.701
22348.935,22404.005,55.070
22413.068,22468.694,55.626
22475.877,22533.445,57.567
22546.292,22601.191,54.899
22609.481,22663.158,53.677
22671.363,22738.292,66.928
22745.504,22810.553,65.049
22817.446,22882.710,65.263
22891.971,22955.164,63.193
22963.438,23028.994,65.556
23037.685,23101.555,63.870
23110.282,23177.726,67.443
23187.012,23253.593,66.581
23261.703,23327.101,65.398
23334.095,23399.234,65.139
23406.367,23471.974,65.607
23478.980,23542.926,63.946
23549.613,23615.422,65.808
23622.520,23687.175,64.655
23694.002,23758.243,64.241
23767.278,23829.253,61.975
23837.571,23902.135,64.564
23910.795,23977.578,66.783
23984.275,24050.313,66.039
24057.384,24121.734,64.350
24128.886,24194.002,65.116
24201.156,24265.483,64.327
24272.567,24337.221,64.654
24344.005,24408.104,64.099
24416.731,24480.942,64.210
24487.613,24550.988,63.375
24559.472,24623.016,63.544
