# Source: https://www.poewiki.net/wiki/Paradoxica
minRoll,maxRoll,textRolls,position,effect,static,unique,veiled
,,,0,"Attacks with this Weapon deal Double Damage",True,True,True
120,139,,0,"#% increased Physical Damage",,True,True
21,25,,0,"#% chance to Impale Enemies on Hit with Attacks",,True,True
21,25,,0,"#% chance to cause Bleeding on Hit",,True,True
21,25,,0,"#% chance to Blind Enemies on hit",,True,True
21,25,,0,"#% chance to Poison on Hit",,True,True
14,16,,0,"Attacks with this Weapon Penetrate #% # Resistances",,True,True
,,"Elemental-Chaos",1,"Attacks with this Weapon Penetrate #% # Resistance",,True,True
60,79,,0,"#% increased # Damage",,True,True
,,"Fire-Cold-Lightning-Chaos-Spell",1,"#% increased # Damage",,True,True
21,23,,0,"#% chance to #",,True,True
,,"Ignite-Freeze-Shock",1,"#% chance to #",,True,True
13,15,,0,"Chaos Skills have #% increased Skill Effect Duration",,True,True
18,20,,0,"#% increased Mana Regeneration Rate",,True,True
,,,0,"Gain 5% of Non-Chaos Damage as extra Chaos Damage",True,True,True
34,38,,0,"Minions deal #% increased Damage",,True,True
34,38,,0,"Minions have #% increased maximum Life",,True,True
6,7,,0,"#% chance to deal Double Damage",,True,True
18,20,,0,"Minions have #% increased Attack Speed",,True,True
18,20,,0,"Minions have #% increased Cast Speed",,True,True
24,28,,0,"+#% to # Damage over Time Multiplier",,True,True
,,"Chaos-Physical-Cold-Fire",1,"+#% to # Damage over Time Multiplier",,True,True
5,6,,0,"#% increased Damage per # Charge",,True,True
,,"Endurance-Frenzy-Power",1,"#% increased Damage per # Charge",,True,True
36,40,,0,"+#% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby",,True,True
12,15,,0,"#% increased Attack Speed while a Rare or Unique Enemy is Nearby",,True,True
18,20,,0,"#% chance to deal Double Damage while Focused",,True,True
18,22,,0,"#% increased Attack Speed",,True,True
18,22,,0,"#% increased Cast Speed",,True,True
,,,0,"15% chance to Trigger Level 1 Blood Rage when you Kill an Enemy",True,True,True
,,,0,"15% chance to gain Arcane Surge when you Kill an Enemy",True,True,True
,,,0,"Trigger a Socketed Spell on Using a Skill, with a 4 second Cooldown",True,True,True
,,,0,"Spells Triggered this way have 150% more Cost",True,True,True
28,32,,0,"#% increased Critical Strike Chance",,True,True
25,28,,0,"+# to Strength and Intelligence",,True,True
25,28,,0,"+# to Dexterity and Intelligence",,True,True
25,28,,0,"+# to Strength and Dexterity",,True,True
311,350,,0,"+# to Accuracy Rating",,True,True
