# Source: https://www.poewiki.net/wiki/Synthesis_league#Unique_items
minRoll,maxRoll,textRolls,position,effect,static,unique
20,30,,0,"+# to Dexterity",,True
20,25,,0,"Adds # to # Cold Damage",,True
26,35,,1,"Adds # to # Cold Damage",,True
20,30,,0,"+#% to Cold Resistance",,True
30,40,,0,"Herald of # has #% increased Mana Reservation Efficiency",,True
,,"Thunder-Ash-Ice-Purity-Agony",1,"Herald of # has #% increased Mana Reservation Efficiency",,True
40,60,,0,"#% increased # Damage while affected by Herald of #",,True
,,"Lightning-Fire-Cold-Physical-Chaos",1,"#% increased # Damage while affected by Herald of #",,True
,,"Thunder-Ash-Ice-Purity-Agony",2,"#% increased # Damage while affected by Herald of #",,True
,,"Thunder-Ash-Ice-Purity-Agony",0,"Herald of # has #% increased Buff Effect",,True
40,60,,1,"Herald of # has #% increased Buff Effect",,True
,,"Lightning-Fire-Cold",0,"+1% to maximum # Resistance while affected by Herald of #",,True
,,"Thunder-Ash-Ice",1,"+1% to maximum # Resistance while affected by Herald of #",,True
31,60,,0,"+#% to # Resistance while affected by Herald of #",,True
,,"Lightning-Fire-Cold-Chaos",1,"+#% to # Resistance while affected by Herald of #",,True
,,"Thunder-Ash-Ice-Agony",2,"+#% to # Resistance while affected by Herald of #",,True
