# Source: https://www.poewiki.net/wiki/Armour_(equipment)
# Note: Only contains bases relevant to the uniques we are tracking
baseType,category,subCategory,relatedUniques
"Great Crown","any armour",helmet,"Forbidden Shako"
"Leather Cap","any armour","helmet",
"Silken Hood","any armour","helmet",
"Sinner Tricorne","any armour","helmet",
"Iron Mask","any armour","helmet",
"Golden Mask","any armour","helmet",
"Regicide Mask","any armour","helmet",
"Lunaris Circlet","any armour","helmet",
"Royal Burgonet","any armour","helmet",
"Nightmare Bascinet","any armour","helmet",
"Gilded Sallet","any armour","helmet",
"Great Crown","any armour","helmet",
"Great Helmet","any armour","helmet",
"Zealot Helmet","any armour","helmet",
"Praetor Crown","any armour","helmet",
"Carnal Armour","any armour","body armour","Shroud of the Lightless"
"Simple Robe","any armour","body armour","Skin of the Lords"
"Zodiac Leather","any armour","body armour",
"Buckskin Tunic","any armour","body armour",
"Cutthroat's Garb","any armour","body armour",
"Destiny Leather","any armour","body armour",
"Exquisite Leather","any armour","body armour",
"Varnished Coat","any armour","body armour",
"Lacquered Garb","any armour","body armour",
"Destroyer Regalia","any armour","body armour",
"Sage's Robe","any armour","body armour",
"Silken Vest","any armour","body armour",
"Scholar's Robe","any armour","body armour",
"Spidersilk Robe","any armour","body armour",
"Necromancer Silks","any armour","body armour",
"Plate Vest","any armour","body armour",
"Copper Plate","any armour","body armour",
"Golden Plate","any armour","body armour",
"Crusader Plate","any armour","body armour",
"Gladiator Plate","any armour","body armour",
"Triumphant Lamellar","any armour","body armour",
"Wyrmscale Doublet","any armour","body armour",
"Crusader Chainmail","any armour","body armour",
"Nubuck Boots","any armour","boots",
"Goathide Boots","any armour","boots",
"Sorcerer Boots","any armour","boots",
"Titan Greaves","any armour","boots",
"Bronzescale Boots","any armour","boots",
"Dragonscale Boots","any armour","boots",
"Soldier Boots","any armour","boots",
"Deerskin Gloves","any armour","gloves",
"Strapped Mitts","any armour","gloves",
"Assassin's Mitts","any armour","gloves",
"Clasped Mitts","any armour","gloves",
"Carnal Mitts","any armour","gloves",
"Wool Gloves","any armour","gloves",
"Samite Gloves","any armour","gloves",
"Conjurer Gloves","any armour","gloves",
"Titan Gauntlets","any armour","gloves",
"Ironscale Gauntlets","any armour","gloves",
"Wyrmscale Gauntlets","any armour","gloves",
"Chain Gloves","any armour","gloves",
"Legion Gloves","any armour","gloves",
"War Buckler","any armour","shield",
"Corrugated Buckler","any armour","shield",
"Ironwood Buckler","any armour","shield",
"Titanium Spirit Shield","any armour","shield",
"Tarnished Spirit Shield","any armour","shield",
"Ancient Spirit Shield","any armour","shield",
"Harmonic Spirit Shield","any armour","shield",
"Vaal Spirit Shield","any armour","shield",
"Ezomyte Tower Shield","any armour","shield",
"Elegant Round Shield","any armour","shield",
"Mosaic Kite Shield","any armour","shield",
