# Source: https://poedb.tw/us/Rings#RingsItem
# Note: Only contains bases relevant to the uniques we are tracking
baseType,category,relatedUniques
"Iron Ring",ring,"Circle of Guilt"
"Coral Ring",ring,
"Paua Ring",ring,
"Gold Ring",ring,
"Topaz Ring",ring,"Precursor's Emblem|Circle of Regret"
"Sapphire Ring",ring,"Precursor's Emblem|Circle of Fear"
"Ruby Ring",ring,"Precursor's Emblem|Circle of Anguish"
"Prismatic Ring",ring,"Precursor's Emblem|Circle of Ambition"
"Moonstone Ring",ring,
"Amethyst Ring",ring,"Circle of Nostalgia"
"Diamond Ring",ring,
"Two-Stone Ring",ring,"Precursor's Emblem"
