# Unique Name: Cane of Kulemak
# Base Types: Serpentine Staff
# Total modifiers: 4|5
# Can have duplicate modifiers: False|False|False|False
# Modifier distrubution: 1:1,6:1,25:1|2,"rest":0|1
# Source: https://poedb.tw/us/Cane_of_Kulemak
minRoll,maxRoll,textRolls,position,effect,static,unique,veiled
60,90,,0,"#% increased Unveiled Modifier magnitudes",,True,True
2,3,,0,"+# to Level of Socketed Support Gems",,True,True
5,8,,0,"+#% to Quality of Socketed Support Gems",,True,True
20,30,,0,"Enemies you Kill have a #% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage",,True,True
1,1,,0,"Socketed Gems are Supported by Level # #",,True,True
,,"Cast while Channelling|Cast On Critical Strike",1,"Socketed Gems are Supported by Level # #",,True,True
12,14,,0,"#% chance to deal Double Damage",,True,True
34,38,,0,"Minions have #% increased # Speed",,True,True
,,"Attack|Cast",1,"Minions have #% increased Ca#st Speed",,True,True
44,48,,0,"#% to # Damage over Time Multiplier",,True,True
,,"Chaos|Physical|Cold|Fire",1,"#% to # Damage over Time Multiplier",,True,True
7,8,,0,"#% increased Damage per # Charge",,True,True
,,"Endurance|Frenzy|Power",1,"#% increased Damage per # Charge",,True,True
54,60,,0,"+#% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby",,True,True
27,30,,0,"#% increased Attack Speed while a Rare or Unique Enemy is Nearby",,True,True
36,40,,0,"#% chance to deal Double Damage while Focused",,True,True
25,28,,0,"+# to Dexterity and Intelligence",,True,True
25,28,,0,"+# to Strength and Dexterity",,True,True
25,28,,0,"+# to Strength and Intelligence",,True,True
18,22,,0,"#% increased Attack Speed",,True,True
15,15,,0,"#% chance to Trigger Level # Blood Rage when you Kill an Enemy",,True,True
28,32,,0,"#% increased Critical Strike Chance",,True,True
311,350,,0,"+# to Accuracy Rating",,True,True
26,31,,0,"#% increased Cast Speed",,True,True
15,15,,0,"#% chance to gain Arcane Surge when you Kill an Enemy",,True,True
120,139,,0,"#% increased Physical Damage",,True,True
21,25,,0,"#% chance to Impale Enemies on Hit with Attacks",,True,True
21,25,,0,"#% chance to cause Bleeding on Hit",,True,True
21,25,,0,"#% chance to Blind Enemies on hit",,True,True
21,25,,0,"#% chance to Poison on Hit",,True,True
14,16,,0,"Attacks with this Weapon Penetrate #% Elemental Resistances",,True,True
14,16,,0,"Attacks with this Weapon Penetrate #% Chaos Resistance",,True,True
100,109,,0,"#% increased # Damage",,True,True
,,"Fire|Cold|Lightning|Chaos|Spell",1,"#% increased # Damage",,True,True
35,40,,0,"#% chance to #",,True,True
,,"Ignite|Freeze|Shock",1,"#% chance to #",,True,True
26,30,,0,"Chaos Skills have #% increased Skill Effect Duration",,True,True
36,40,,0,"#% increased Mana Regeneration Rate",,True,True
9,10,,0,"Gain #% of Non-Chaos Damage as extra Chaos Damage",,True,True
50,59,,0,"Minions have #% increased maximum Life",,True,True
50,59,,0,"Minions deal #% increased Damage",,True,True
