# Unique Name: Precursor's Emblem
# Base Types: Ruby Ring|Sapphire Ring|Topaz Ring|Prismatic Ring|Two-Stone Ring
# Total modifiers on each item: 6
# Can have duplicate modifiers: False|True
# Modifier distrubution: 9:3,"rest":3
# Source: https://poedb.tw/Precursors_Emblem#PrecursorsEmblemUnique
minRoll,maxRoll,textRolls,position,effect,static,unique
20,20,,0,"+# to Strength",,True
20,20,,0,"+# to Dexterity",,True
20,20,,0,"+# to Intelligence",,True
20,20,,0,"+# to all Attributes",,True
20,20,,0,"+# to Dexterity and Intelligence",,True
20,20,,0,"+# to Strength and Dexterity",,True
20,20,,0,"+# to Strength and Intelligence",,True
5,5,,0,"#% increased maximum Energy Shield",,True
5,5,,0,"#% increased maximum Life",,True
10,30,,0,"#% increased Accuracy Rating per Frenzy Charge",,True
6,8,,0,"# to # Added Cold Damage per Frenzy Charge",,True
12,13,,1,"# to # Added Cold Damage per Frenzy Charge",,True
7,9,,0,"# to # Fire Damage per Endurance Charge",,True
13,14,,1,"# to # Fire Damage per Endurance Charge",,True
1,2,,0,"# to # Lightning Damage per Power Charge",,True
18,20,,1,"# to # Lightning Damage per Power Charge",,True
,,,0,"You can apply an additional Curse while at maximum Power Charges",True,True
,,,0,"Gain Arcane Surge on Hit with Spells while at maximum Power Charges",True,True
6,18,,0,"#% increased Armour per Endurance Charge",,True
1,3,,0,"#% increased Attack and Cast Speed per # Charge",,True
,,"Endurance|Power",1,"#% increased Attack and Cast Speed per # Charge",,True
1,3,,0,"+#% Chance to Block Attack Damage per # Charge",,True
,,"Endurance|Frenzy|Power",1,"+#% Chance to Block Attack Damage per # Charge",,True
,,,0,"You cannot be Stunned while at maximum Endurance Charges",True,True
15,45,,0,"#% chance that if you would gain Endurance Charges, you instead gain up to maximum Endurance Charges",,True
15,45,,0,"#% chance that if you would gain # Charges, you instead gain up to your maximum number of # Charges",,True
,,"Frenzy|Power",1,"#% chance that if you would gain # Charges, you instead gain up to your maximum number of # Charges",,True
,,"Frenzy|Power",2,"#% chance that if you would gain # Charges, you instead gain up to your maximum number of # Charges",,True
4,12,,0,"+#% to Chaos Resistance per Endurance Charge",,True
6,18,,0,"#% increased Critical Strike Chance per # Charge",,True
,,"Endurance|Frenzy",1,"#% increased Critical Strike Chance per # Charge",,True
3,9,,0,"+#% to Critical Strike Multiplier per Power Charge",,True
5,15,,0,"#% increased Damage per # Charge",,True
,,"Endurance|Frenzy|Power",1,"#% increased Damage per # Charge",,True
1,3,,0,"+#% chance to Suppress Spell Damage per # Charge",,True
,,"Endurance|Frenzy|Power",1,"+#% chance to Suppress Spell Damage per # Charge",,True
20,40,,0,"#% increased # Charge Duration",,True
,,"Endurance|Frenzy|Power",1,"#% increased # Charge Duration",,True
1,3,,0,"Gain # Endurance Charge every second if you've been Hit Recently",,True
3,9,,0,"#% increased Energy Shield per Power Charge",,True
8,24,,0,"#% increased Evasion Rating per Frenzy Charge",,True
1,3,,0,"Gain #% of # Damage as Extra Chaos Damage per # Charge",,True
,,"Fire|Cold|Lightning",1,"Gain #% of # Damage as Extra Chaos Damage per # Charge",,True
,,"Endurance|Frenzy|Power",2,"Gain #% of # Damage as Extra Chaos Damage per # Charge",,True
,,,0,"Gain a Flask Charge when you deal a Critical Strike while at maximum Frenzy Charges",True,True
10,30,,0,"#% chance to gain a Frenzy Charge on Hit",,True
,,,0,"Intimidate Enemies for 4 seconds on Hit with Attacks while at maximum Endurance Charges",True,True
0.3,0.9,,0,"Regenerate #% of Life per second per # Charge",,True
,,"Endurance|Frenzy|Power",1,"Regenerate #% of Life per second per # Charge",,True
,,"Endurance|Frenzy|Power",0,"+1 to Maximum # Charges",,True
1,3,,0,"#% increased Movement Speed per # Charge",,True
,,"Endurance|Frenzy|Power",1,"#% increased Movement Speed per # Charge",,True
,,,0,"Gain Onslaught for 4 seconds on Hit while at maximum Frenzy Charges",True,True
1,3,,0,"#% additional Physical Damage Reduction per # Charge",,True
,,"Frenzy|Power",1,"#% additional Physical Damage Reduction per # Charge",,True
20,60,,0,"#% chance to gain a Power Charge on Critical Strike",,True
10,30,,0,"#% chance to gain an? # Charge on Kill",,True
,,"Endurance|Frenzy|Power",1,"#% chance to gain an? # Charge on Kill",,True
,,"Vaal Pact|Iron Reflexes|Mind over Matter",0,"You have # while at maximum # Charges",,True
,,"Endurance|Frenzy|Power",1,"You have # while at maximum # Charges",,True
