# Base Types: Burial Idol
# Total modifiers on each item: 0|1|2|3|4
# Can have duplicate modifiers: False|False
# Modifier distrubution: 17:0|1|2,"rest":0|1|2
# Source: https://poedb.tw/us/Burial_Idol#ModifiersCalc
minRoll,maxRoll,textRolls,position,effect,static,idol
8,70,,0,"Your Maps have +#% chance to contain( an?)? #",,True
,,"Abyss|Alva|Einhar|Niko|Jun|The Sacred Grove|Breaches|Ritual Altars|Rogue Exile|Blight Encounter|Mirror of Delirium|Shrine|Imprisoned Monster|Expedition Encounter|Smuggler's Cache|Legion Encounter|Ultimatum Encounter|Strongbox|Trial of Ascendancy",1,"Your Maps have +#% chance to contain( an?)? #",,True
20,70,,0,"Your Maps have a #% chance to contain an additional #",,True
,,"Rogue Exile|Harbinger",1,"Your Maps have a #% chance to contain an additional #",,True
,,"Shrine|Harbinger|Imprisoned Monster|Strongbox",0,"Your Maps contain an additional #",,True
,,,0,"Your Maps are haunted by an additional Tormented Spirit",True,True
20,30,,0,"Your Maps have +#% chance to be haunted by a Tormented Spirit",,True
224,280,,0,"Your Maps have #% increased chance to contain( an?)? #",,True
,,"Abyss|Alva|Einhar|Niko|Jun|Blight Encounter|Breach|Mirror of Delirium|Expedition Encounter|The Sacred Grove|Smuggler's Cache|Legion Encounter|Ultimatum Encounter|Ritual Altars",1,"Your Maps have #% increased chance to contain( an?)? #",,True
45,70,,0,"#% chance for your Maps to attract Beyond Demons",,True
1,10,,0,"Your Maps which contain Breaches have #% chance to contain # additional Breaches",,True
,,"an|two|three|ten",1,"Your Maps which contain Breaches have #% chance to contain # additional Breaches",,True
4,6,,0,"Final Map Boss in each Map has #% chance to drop an additional connected Map",,True
8,12,,0,"#% increased effect of Explicit Modifiers on your Maps",,True
,,,0,"Up to 5 Rare Monsters in each of your Maps are Possessed and their Minions are Touched",True,True
2,8,,0,"Your Maps have #% chance to grant an additional Kirac Mission on Completion",,True
10,16,,0,"#% increased Rarity of Items found in your Maps",,True
40,60,,0,"Abysses in your Maps that do not lead to an Abyssal Depths have #% increased chance to lead to a Stygian Spire",,True
40,60,,0,"Abysses in your Maps have #% increased chance to lead to an Abyssal Depths",,True
10,20,,0,"Abyss Cracks in your Maps have #% chance to spawn all Monsters as at least Magic",,True
10,20,,0,"Abyss Pits in your Maps have #% chance to spawn all Monsters as at least Magic",,True
30,50,,0,"Killing non-resident Architects in your Maps has #% chance to add an additional Upgrade Tier to the surviving Architect's Room",,True
75,100,,0,"Wild Rogue Exiles in your Maps have #% chance to be Possessed by a Tormented Spirit",,True
3,4,,0,"Your Maps that contain capturable Beasts contain # additional Yellow Beasts",,True
