# Base Types: Conqueror Idol
# Total modifiers on each item: 0|1|2|3|4
# Can have duplicate modifiers: False|False
# Modifier distrubution: 22:0|1|2,"rest":0|1|2
# Source: https://poedb.tw/us/Conqueror_Idol#ModifiersCalc
minRoll,maxRoll,textRolls,position,effect,static,idol
8,70,,0,"Your Maps have +#% chance to contain( an?)? #",,True
,,"Abyss|Alva|Einhar|Niko|Jun|The Sacred Grove|Breaches|Ritual Altars|Rogue Exile|Blight Encounter|Mirror of Delirium|Shrine|Imprisoned Monster|Expedition Encounter|Smuggler's Cache|Legion Encounter|Ultimatum Encounter|Strongbox|Trial of Ascendancy",1,"Your Maps have +#% chance to contain( an?)? #",,True
20,70,,0,"Your Maps have a #% chance to contain an additional #",,True
,,"Rogue Exile|Harbinger",1,"Your Maps have a #% chance to contain an additional #",,True
,,"Shrine|Harbinger|Imprisoned Monster|Strongbox",0,"Your Maps contain an additional #",,True
,,,0,"Your Maps are haunted by an additional Tormented Spirit",True,True
20,30,,0,"Your Maps have +#% chance to be haunted by a Tormented Spirit",,True
224,280,,0,"Your Maps have #% increased chance to contain( an?)? #",,True
,,"Abyss|Alva|Einhar|Niko|Jun|Blight Encounter|Breach|Mirror of Delirium|Expedition Encounter|The Sacred Grove|Smuggler's Cache|Legion Encounter|Ultimatum Encounter|Ritual Altars",1,"Your Maps have #% increased chance to contain( an?)? #",,True
3,5,,0,"Your Maps have +#% chance to contain an Abyss per 2% increased Pack Size",,True
8,12,,0,"Your Maps have a #% chance to contain # additional Rogue Exiles",,True
6,10,,1,"Your Maps have a #% chance to contain # additional Rogue Exiles",,True
45,70,,0,"#% chance for your Maps to attract Beyond Demons",,True
1,2,,0,"Your Maps which contain Breaches have #% chance to contain # additional Breaches",,True
,,"three|ten",1,"Your Maps which contain Breaches have #% chance to contain # additional Breaches",,True
3,5,,0,"Maps found in your Maps have #% chance to have layers of Delirium",,True
3,12,,0,"#% chance on Completing your Maps to gain a free use of a # Map Crafting option",,True
,,"random|special",1,"#% chance on Completing your Maps to gain a free use of a # Map Crafting option",,True
4,6,,0,"#% increased Quantity of Items found in your Maps",,True
4,6,,0,"#% increased Pack size",,True
3,5,,0,"#% increased effect of Explicit Modifiers on your Maps per 5% Map Quality",,True
2,3,,0,"#% increased effect of Explicit Modifiers on your Maps per Explicit Modifier",,True
15,25,,0,"Abyss Jewels found in Abyssal Troves or dropped by Stygian Spires in your Maps have #% chance to be Corrupted and have 5 or 6 random Modifiers",,True
,,,0,"Abyss Jewels dropped by Abyssal Troves or Stygian Spires in your Maps have a 1% Chance to be Rare and Corrupted",True,True
14,20,,0,"Abyss Pits in your Maps have #% chance to spawn 5 additional Rare Monsters",,True
