# Base Types: Noble Idol
# Total modifiers on each item: 0|1|2|3|4
# Can have duplicate modifiers: False|False
# Modifier distrubution: 17:0|1|2,"rest":0|1|2
# Source: https://poedb.tw/us/Noble_Idol#ModifiersCalc
minRoll,maxRoll,textRolls,position,effect,static,idol
8,70,,0,"Your Maps have +#% chance to contain( an?)? #",,True
,,"Abyss|Alva|Einhar|Niko|Jun|The Sacred Grove|Breaches|Ritual Altars|Rogue Exile|Blight Encounter|Mirror of Delirium|Shrine|Imprisoned Monster|Expedition Encounter|Smuggler's Cache|Legion Encounter|Ultimatum Encounter|Strongbox|Trial of Ascendancy",1,"Your Maps have +#% chance to contain( an?)? #",,True
20,70,,0,"Your Maps have a #% chance to contain an additional #",,True
,,"Rogue Exile|Harbinger",1,"Your Maps have a #% chance to contain an additional #",,True
,,"Shrine|Harbinger|Imprisoned Monster|Strongbox",0,"Your Maps contain an additional #",,True
,,,0,"Your Maps are haunted by an additional Tormented Spirit",True,True
20,30,,0,"Your Maps have +#% chance to be haunted by a Tormented Spirit",,True
224,280,,0,"Your Maps have #% increased chance to contain( an?)? #",,True
,,"Abyss|Alva|Einhar|Niko|Jun|Blight Encounter|Breach|Mirror of Delirium|Expedition Encounter|The Sacred Grove|Smuggler's Cache|Legion Encounter|Ultimatum Encounter|Ritual Altars",1,"Your Maps have #% increased chance to contain( an?)? #",,True
45,70,,0,"#% chance for your Maps to attract Beyond Demons",,True
1,10,,0,"Your Maps which contain Breaches have #% chance to contain # additional Breaches",,True
,,"two|three|ten",1,"Your Maps which contain Breaches have #% chance to contain # additional Breaches",,True
1.8,2.4,,0,"Final Map Boss in each Map has +#% chance to drop a Shaper Guardian Map (Tier 14+)",,True
,,"Shaper|Elder",1,"Final Map Boss in each Map has +#% chance to drop an Elder Guardian Map (Tier 14+)",,True
20,25,,0,"#% increased Blueprints found in your Maps",,True
1.2,1.8,,0,"+#% chance for a Synthesis Map to drop from Final Map Boss in each Map (Tier 14+)",,True
5,8,,0,"#% chance for one Monster in each of your Maps to drop an additional connected Map",,True
,,"Ultimatum Monsters|Beyond Demons|Abyss Monsters",0,"# in your Maps grant #% increased Experience",,True
20,60,,1,"# in your Maps grant #% increased Experience",,True
,,"Cracks|Pits",0,"Abyss # in your Maps have #% chance to spawn 100% increased Monsters",,True
8,12,,1,"Abyss # in your Maps have #% chance to spawn 100% increased Monsters",,True
3,5,,0,"Abyss Cracks in your Maps have #% chance to spawn all Monsters as Magic for each prior Pit in that Abyss",,True
15,25,,0,"Incursions in your Maps have #% chance for all Monsters to be at least Magic",,True
30,40,,0,"#% increased Rarity of Items Dropped by Wild Rogue Exiles in your Maps",,True
